RREP
PARAMETERS,
window_size, threshold_L, threshold_H, p_t_ini, min_packages, max_packages,
60,80000,100000,100000,1,20,
WINDOWS,
step, NOx_total_w, NOx_total_acum, lambda, p_t_total, e_t_total, p_t_control_zone, e_t_control_zone, k_control_zone, num_veh_total, num_vehicles_control_zone,  
0,0,0,0.8,100000,0,100000,0,1,0,0,
60,454.59762078585607,454.59762078585607,0.8537456976449606,85265.15488478143,454.59762078585607,96316.28872119535,0,0.0,12,0,
120,1377.2743119678446,1831.8719327537005,1.138973494774893,60262.10907288528,1377.2743119678446,90065.52726822131,0,0.18418556394023253,29,0,
180,2017.0983816655314,3848.9703144192317,1.1055098475906455,36463.75455962204,2017.0983816655314,84115.93863990551,0,0.4967236365889345,43,0,
240,2804.1938423855563,6653.164156804788,0.9020276102957687,19990.760588974365,2804.1938423855563,79997.69014724359,0,0.7942030680047246,62,0,
300,4189.576862673945,10842.741019478734,0.9981740348367764,56.4953348504132,4189.576862673945,75014.1238337126,0,1,79,0,
360,5293.121092230571,16135.862111709304,0.9797964259154952,0,5293.121092230571,70195.95600047315,0,1,100,0,
420,6942.134686243566,23077.99679795287,1.060637189089105,0,6942.134686243566,64650.2212986712,0,1,116,0,
480,8144.227149266222,31222.223947219092,1.1154893404542052,0,8144.227149266222,58610.81723458335,0,1,134,0,
540,9182.402655245634,40404.62660246473,0.837543834709694,0,9182.402655245634,55072.922722196105,0,1,145,0,
600,10197.764446245257,50602.391048709986,0.8113389906088025,0,10197.764446245257,51770.87180671688,0,1,158,0,
660,11602.213090787303,62204.604139497285,1.1343060415679478,0,11602.213090787303,45562.11743260535,0,1,176,0,
720,12917.593764701138,75122.19790419843,0.9731068271620213,0,12917.593764701138,40804.15598814716,0,1,199,0,
780,14419.46017885886,89541.6580830573,1.1049120329831768,0,14419.46017885886,34859.94769129857,0,1,213,0,
840,16130.16844511029,105671.82652816758,0.8008424213404444,0,16130.16844511029,31652.36589923457,0,1,229,0,
900,17486.271092128307,123158.09762029588,0.9781548776219205,0,17486.271092128307,26848.972000637288,0,1,247,0,
