noControl
PARAMETERS,
window_size, threshold_L, threshold_H, p_t_ini, min_packages, max_packages,
60,80000,100000,100000,1,20,
WINDOWS,
step, NOx_total_w, NOx_total_acum, lambda, p_t_total, e_t_total, p_t_control_zone, e_t_control_zone, k_control_zone, num_veh_total, num_vehicles_control_zone,  
0,0,0,0.8,100000,0,100000,0,1,0,0,
60,454.59762078585607,454.59762078585607,0.8537456976449606,85265.15488478143,454.59762078585607,96316.28872119535,0,1,12,0,
120,3534.4199646280235,3989.0175854138797,1.138973494774893,60262.10907288528,3534.4199646280235,90065.52726822131,0,1,29,0,
180,18091.844226691937,22080.861812105817,1.1055098475906455,38555.59878631398,18091.844226691937,84115.93863990551,0,1,43,0,
240,33121.79637853597,55202.658190641785,0.9020276102957687,39204.40119420228,33121.79637853597,79997.69014724359,0,1,62,0,
300,38251.2612524624,93453.91944310418,0.9981740348367764,41521.397192540724,38251.2612524624,75014.1238337126,0,1,79,0,
360,49133.31317840492,142587.23262150912,0.9797964259154952,55382.039037987815,49133.31317840492,70195.95600047315,0,1,100,0,
420,61834.63730101321,204421.86992252234,1.060637189089105,79033.73753179323,61834.63730101321,64650.2212986712,41.55825657652548,1,116,3,
480,72884.73638941915,277306.6063119415,1.1154893404542052,111760.85766486099,72884.73638941915,58610.81723458335,324.5753193178379,1,134,10,
540,76851.66005606133,354158.26636800286,0.837543834709694,158460.93967137331,76851.66005606133,55072.922722196105,3944.8724891737475,1,145,24,
600,77358.27417090921,431516.54053891206,0.8113389906088025,206611.01018036564,77358.27417090921,63854.50512400233,16083.633317285447,1,158,46,
660,83721.48804126268,515238.0285801747,1.1343060415679478,249497.4807251822,83721.48804126268,89744.21211515745,36098.46136526667,1,176,57,
720,84742.10304105043,599980.1316212252,0.9731068271620213,299207.7379883998,84742.10304105043,121747.75729616478,40761.50662546553,1,199,86,
780,97075.02470344654,697055.1563246717,1.1049120329831768,356505.929504452,97075.02470344654,169722.10829557833,57918.55929626212,1,213,103,
840,97102.03121131967,794157.1875359914,0.8008424213404444,424777.63354751567,97102.03121131967,228992.02543825685,66477.49893474254,1,229,119,
900,114833.31241255993,908990.4999485514,0.9781548776219205,504397.3703656865,114833.31241255993,301886.8430701166,81698.211530457,1,247,134,
960,113505.80144416545,1022496.3013927168,1.088616012936313,578712.9953441446,113505.80144416545,373077.20176645846,80987.90281276869,1,266,139,
1020,126753.33467794338,1149249.6360706603,0.8915048885081811,673372.1540357935,126753.33467794338,439833.50375423103,74779.84598434625,1,284,143,
1080,132585.5616918174,1281835.1977624777,1.1781082782215688,763545.8177116343,132585.5616918174,490209.3654738539,60978.83622361696,1,299,135,
1140,141698.11519399998,1423533.3129564777,1.1605709830445934,863463.3775160289,141698.11519399998,531640.2735604794,51876.046934026825,1,314,143,
1200,150199.05933815497,1573732.3722946327,0.8122359932134214,984421.9410985007,150199.05933815497,560203.0672468927,35872.917625334114,1,329,142,
1260,167945.14867408958,1741677.5209687222,0.8101783443973843,1123200.6693742846,167945.14867408958,586270.1123042211,33358.650156904834,1,351,127,
1320,178582.18774888277,1920259.7087176049,1.0165649891173987,1265186.5175149408,178582.18774888277,615632.9575398442,38511.93013767962,1,364,128,
1380,186448.73349894607,2106708.442216551,1.1756596651114042,1409311.5030698762,186448.73349894607,637989.2096621351,32937.18910829353,1,377,124,
1440,198505.11529881533,2305213.5575153665,0.952481695075285,1573527.2773459812,198505.11529881533,667940.632957783,38523.75855132546,1,387,129,
1500,211889.35138334765,2517102.908898714,0.8866397588522453,1753497.5974106481,211889.35138334765,707639.4011210387,47678.52599292593,1,366,139,
1560,216899.55750918773,2734002.4664079016,0.9688466302330869,1935518.6762314446,216899.55750918773,753700.9085132383,54781.127064297274,1,373,140,
1620,202733.38137472747,2936735.847782629,0.8116163150299472,2109033.8702650936,202733.38137472747,801844.9214248715,55448.55974690278,1,348,133,
1680,190960.18488089906,3127696.0326635283,0.8886766665092141,2268001.695151661,190960.18488089906,858484.920669544,64638.08924325548,1,352,154,
1740,197098.1197769958,3324794.152440524,0.9751550374602288,2429994.2335800887,197098.1197769958,921956.077146257,72247.55181385507,1,339,149,
1800,194598.16193704287,3519392.3143775673,0.9983248965527403,2588652.699241233,194598.16193704287,996010.3085875354,83039.15551025303,1,346,148,
1860,203203.2132081856,3722595.527585753,0.8932337801030291,2759699.4963657097,203203.2132081856,1079720.7149463713,91749.51037976329,1,350,148,
1920,205863.87503270214,3928459.402618455,0.8923466166163937,2933438.8932002215,205863.87503270214,1172638.9925155384,100949.39711871458,1,358,139,
