historical_VEP
PARAMETERS,
window_size, threshold_L, threshold_H, alpha_ini, p_t_ini, min_packages, max_packages,
60,50000,100000,0.5,1000000,5,10,
WINDOWS,
step, NOx_total_w, NOx_total_acum, alpha, lambda, p_t_total, e_t_total, p_t_control_zone, e_t_control_zone, k_control_zone, num_veh_total, num_vehicles_control_zone,  
0,1000000,1000000,0.5,0.8,1000000,1000000,1000000,1000000,1,0,0,
60,0.0,1000000.0,0.5,0.8935573367844962,839159.6793787907,0.0,959789.9198446977,0,1,1,0,
120,247.6451616631165,1000247.6451616631,0.5,0.8165549854127896,692427.4271661516,247.6451616631165,923044.9455011222,0,1,9,0,
180,291.57607319669637,1000539.2212348598,0.5,0.970636761772098,518004.38612037065,291.57607319669637,879366.2912213778,0,1,10,0,
240,312.33942787375156,1000851.5606627335,0.5843632847544166,1.1687265695088331,307945.9430366544,312.33942787375156,826773.5955934803,0,1,10,0,
300,316.53181860750266,1001168.092481341,0.5013277901177324,0.8579043262932228,153839.6961224818,316.53181860750266,788167.9009102853,0,1,10,0,
360,309.9431647541684,1001478.0356460952,0.5,0.8437099141999893,2281.854731237894,309.9431647541684,750200.9547712858,0,1,10,0,
420,311.5498199002025,1001789.5854659954,0.5,0.9549814631306293,0,311.5498199002025,707226.7889304075,0.0,1,10,1,
480,338.42708047530385,1002128.0125464706,0.5,0.8508686977729059,0,338.42708047530385,668973.1035928999,35.40606227318722,1,10,3,
540,328.4299585202752,1002456.4425049908,0.5,0.8505540720352381,0,328.4299585202752,630897.0678688028,198.8975174887209,1,10,7,
600,329.3682793474784,1002785.8107843383,0.5,0.8296486926185486,0,329.3682793474784,593850.1784567347,287.3017557666186,1,10,10,
660,307.74228429981326,1003093.5530686381,0.5226380977408533,1.0452761954817067,0,307.74228429981326,547120.4919443578,307.74228429981326,1,10,10,
720,318.6872748269431,1003412.240343465,0.5924836998784304,1.133640472134524,0,318.6872748269431,496425.3579731311,318.6872748269431,1,10,10,
780,321.32645173735,1003733.5667952023,0.6300790633138547,1.0634538358492196,0,321.32645173735,448891.2618116536,321.32645173735,1,10,10,
840,325.53428433386046,1004059.1010795361,0.5545261388607206,0.8800897715030094,0,325.53428433386046,409590.1894604308,302.967366412605,1,10,9,
900,336.15692701211907,1004395.2580065483,0.5,0.8966737356510873,0,336.15692701211907,369497.6848182292,257.8134620972288,1,10,8,
960,334.336012938471,1004729.5940194868,0.5789215083875514,1.1578430167751028,0,334.336012938471,317532.3304320204,137.58136867083306,1,10,7,
1020,308.1471242112466,1005037.7411436981,0.6486758508310794,1.1204901552851476,0,308.1471242112466,267169.2544271566,58.98098296782763,1,10,3,
1080,326.7064169953712,1005364.4475606935,0.6307062973870603,0.9722981001666756,0,326.7064169953712,223441.92824375827,26.088324102096138,1,10,2,
1140,308.88191460008346,1005673.3294752935,0.5754841509118709,0.9124439589330754,0,308.88191460008346,182381.9500917699,0,1,10,0,
1200,307.8196827715875,1005981.1491580651,0.6461470062896515,1.1227885342555712,0,307.8196827715875,131856.4660502692,0,1,8,0,
1260,267.15422956214775,1006248.3033876272,0.6842415125144159,1.058956407526382,0,267.15422956214775,84203.42771158202,0,1,7,0,
1320,229.63885142155843,1006477.9422390488,0.7453455739346121,1.089301891660525,0,229.63885142155843,35184.84258685839,0,1,7,0,
1380,155.58136909645683,1006633.5236081452,0.6151363151773944,0.8253035057686668,0,155.58136909645683,0,0,1,3,0,
1440,79.48160540992798,1006713.0052135551,0.5209904764297223,0.8469512587295027,0,79.48160540992798,0,0,1,3,0,
1500,45.17145932654503,1006758.1766728816,0.5492625211545756,1.054265953033533,0,45.17145932654503,0,0,1,2,0,
VEHICLES,
id, vType, NOx_total_veh, n_packages, step_ini, step_fin, total_time(sec),median_package,enter_cz,
veh5,normalVehicle,1092.756692057798,7,86,1348,1262,180.28571428571428,False,
veh7,normalVehicle,1169.9221816647741,8,91,1350,1259,157.375,False,
veh9,eVehicle,0.0,5,101,1377,1276,255.2,False,
veh4,normalVehicle,901.2072774257622,6,81,1190,1109,184.83333333333334,False,
veh6,eVehicle,0.0,6,91,1550,1459,243.16666666666666,False,
veh10,normalVehicle,976.0389558257393,5,121,1530,1409,281.8,False,
veh3,normalVehicle,845.8454835015033,10,71,1251,1180,118.0,False,
veh8,normalVehicle,899.7723460326192,6,93,1448,1355,225.83333333333334,False,
veh2,normalVehicle,887.1229885975928,5,71,1346,1275,255.0,False,
veh1,eVehicle,0.0,10,11,1150,1139,113.9,False,
ALL SIMULATION,
total_steps(sec), minutes, median_package_all_sim,
1550,26.0,201.53940476190476,
