historical_VE
PARAMETERS,
window_size, threshold_L, threshold_H, alpha_ini, p_t_ini, min_packages, max_packages,
60,50000,100000,0.5,1000000,5,10,
WINDOWS,
step, NOx_total_w, NOx_total_acum, alpha, lambda, p_t_total, e_t_total, p_t_control_zone, e_t_control_zone, k_control_zone, num_veh_total, num_vehicles_control_zone,  
0,1000000,1000000,0.5,0.8,1000000,1000000,1000000,1000000,1,0,0,
60,0.0,1000000.0,0.5,0.9600417592984972,827192.4833262705,0.0,956798.1208315677,0,1,1,0,
120,247.6451616631165,1000247.6451616631,0.5132396687502905,1.026479337500581,642673.847737829,247.6451616631165,910606.5506440415,0,1,9,0,
180,291.57607319669637,1000539.2212348598,0.5,0.866977426776952,486909.4869911743,291.57607319669637,871592.5664390787,0,1,10,0,
240,312.33942787375156,1000851.5606627335,0.5,0.9963819702497813,307873.0717740874,312.33942787375156,826755.3777778385,0,1,10,0,
300,316.53181860750266,1001168.092481341,0.5,0.9606565124975367,135271.4313431383,316.53181860750266,783525.8347154494,0,1,10,0,
360,309.9431647541684,1001478.0356460952,0.5541289142395555,1.108257828479111,0,309.9431647541684,733654.2324338894,0,1,10,0,
420,311.5498199002025,1001789.5854659954,0.6223851705671807,1.1231775757835971,0,311.5498199002025,683111.2415236275,0.0,1,10,1,
480,338.42708047530385,1002128.0125464706,0.6610568215521644,1.0621345957676693,0,338.42708047530385,635350.5907763556,35.40606227318722,1,10,3,
540,328.4299585202752,1002456.4425049908,0.599038795044258,0.9061835163242281,0,328.4299585202752,594771.230059254,198.8975174887209,1,10,7,
600,329.3682793474784,1002785.8107843383,0.5903100839049377,0.9854288049262728,0,329.3682793474784,550714.2355933383,287.3017557666186,1,10,10,
660,307.74228429981326,1003093.5530686381,0.604919398904649,1.0247485438552393,0,307.74228429981326,504908.2934041523,307.74228429981326,1,10,10,
720,318.6872748269431,1003412.240343465,0.5291230477948836,0.8747000819497395,0,318.6872748269431,465865.476991241,318.6872748269431,1,10,10,
780,321.32645173735,1003733.5667952023,0.5,0.9068661060790678,0,321.32645173735,425377.8286694203,321.32645173735,1,10,10,
840,325.53428433386046,1004059.1010795361,0.5143659989855195,1.028731997971039,0,325.53428433386046,379387.8561271362,302.967366412605,1,10,9,
900,336.15692701211907,1004395.2580065483,0.5,0.8699193813157533,0,336.15692701211907,340499.2974300246,257.8134620972288,1,10,8,
960,334.336012938471,1004729.5940194868,0.5,0.9506601213439843,0,334.336012938471,297857.17333821615,137.58136867083306,1,10,7,
1020,308.1471242112466,1005037.7411436981,0.512721365670146,1.025442731340292,0,308.1471242112466,251771.23141087082,58.98098296782763,1,10,3,
1080,326.7064169953712,1005364.4475606935,0.5282846069190166,1.0303541890214167,0,326.7064169953712,205431.3812290092,26.088324102096138,1,10,2,
1140,308.88191460008346,1005673.3294752935,0.5574059458782195,1.0551243374836152,0,308.88191460008346,157950.7860422465,0,1,10,0,
1200,307.8196827715875,1005981.1491580651,0.6133825173337262,1.100423348314509,0,307.8196827715875,108431.73536809359,0,1,8,0,
1260,267.15422956214775,1006248.3033876272,0.6380110956210313,1.040152070838865,0,267.15422956214775,61624.89218034467,0,1,7,0,
1320,229.63885142155843,1006477.9422390488,0.6092693009998755,0.9549509486301662,0,229.63885142155843,18652.099491987196,0,1,7,0,
1380,155.58136909645683,1006633.5236081452,0.5491406773078357,0.9013102685571678,0,155.58136909645683,0,0,1,3,0,
1440,79.48160540992798,1006713.0052135551,0.5001313618378158,0.9107527132932709,0,79.48160540992798,0,0,1,3,0,
1500,45.17145932654503,1006758.1766728816,0.5,0.892480419058462,0,45.17145932654503,0,0,1,2,0,
VEHICLES,
id, vType, NOx_total_veh, n_packages, step_ini, step_fin, total_time(sec),median_package,enter_cz,
veh5,normalVehicle,1092.756692057798,8,86,1348,1262,157.75,False,
veh7,normalVehicle,1169.9221816647741,6,91,1350,1259,209.83333333333334,False,
veh9,eVehicle,0.0,10,101,1377,1276,127.6,False,
veh4,normalVehicle,901.2072774257622,6,81,1190,1109,184.83333333333334,False,
veh6,eVehicle,0.0,8,91,1550,1459,182.375,False,
veh10,normalVehicle,976.0389558257393,5,121,1530,1409,281.8,False,
veh3,normalVehicle,845.8454835015033,6,71,1251,1180,196.66666666666666,False,
veh8,normalVehicle,899.7723460326192,8,93,1448,1355,169.375,False,
veh2,normalVehicle,887.1229885975928,10,71,1346,1275,127.5,False,
veh1,eVehicle,0.0,8,11,1150,1139,142.375,False,
ALL SIMULATION,
total_steps(sec), minutes, median_package_all_sim,
1550,26.0,178.01083333333335,
