baseline
PARAMETERS,
window_size, threshold_L, threshold_H, alpha_ini, p_t_ini, min_packages, max_packages,
60,50000,100000,0.5,1000000,5,10,
WINDOWS,
step, NOx_total_w, NOx_total_acum, alpha, lambda, p_t_total, e_t_total, p_t_control_zone, e_t_control_zone, k_control_zone, num_veh_total, num_vehicles_control_zone,  
0,1000000,1000000,0.5,0.8,1000000,1000000,1000000,1000000,1,0,0,
60,0.0,1000000.0,0.5,0.9183840841025719,834690.864861537,0.0,958672.7162153843,0,1,1,0,
120,247.6451616631165,1000247.6451616631,0.5,0.8018025722842598,690614.0470120333,247.6451616631165,922591.6004625927,0,1,9,0,
180,291.57607319669637,1000539.2212348598,0.5062719314419879,1.0125438628839758,508647.7277661144,291.57607319669637,877027.1266328137,0,1,10,0,
240,312.33942787375156,1000851.5606627335,0.5,0.9354844030541913,340572.8746442337,312.33942787375156,834930.3284953751,0,1,10,0,
300,316.53181860750266,1001168.092481341,0.5942404632171563,1.1884809264343126,126962.839704665,316.53181860750266,781448.686805831,0,1,10,0,
360,309.9431647541684,1001478.0356460952,0.5803613699544439,0.9766439781169184,0,309.9431647541684,737499.7077905698,0,1,10,0,
420,311.5498199002025,1001789.5854659954,0.6605800690259812,1.1382219824138782,0,311.5498199002025,686279.7185819453,0.0,1,10,1,
480,338.42708047530385,1002128.0125464706,0.6341009754226922,0.9599153912676593,0,338.42708047530385,643118.9320371738,35.40606227318722,1,10,3,
540,328.4299585202752,1002456.4425049908,0.6813940567429003,1.0745828868796212,0,328.4299585202752,594961.5996450795,198.8975174887209,1,10,7,
600,329.3682793474784,1002785.8107843383,0.7193529062622872,1.0557076322338828,0,329.3682793474784,547742.0579503214,287.3017557666186,1,10,10,
660,307.74228429981326,1003093.5530686381,0.8186207142764468,1.1379959782604465,0,307.74228429981326,496839.98121290107,307.74228429981326,1,10,10,
720,318.6872748269431,1003412.240343465,0.8967035615949742,1.09538342477388,0,318.6872748269431,447866.4143729034,318.6872748269431,1,10,10,
780,321.32645173735,1003733.5667952023,0.9638862275951785,1.0749218235296243,0,321.32645173735,399816.2587658077,321.32645173735,1,10,10,
840,325.53428433386046,1004059.1010795361,1,1.195416024302144,0,325.53428433386046,346325.5050386239,302.967366412605,1,10,9,
900,336.15692701211907,1004395.2580065483,0.9219031585497466,0.9219031585497466,0,336.15692701211907,305097.6763659825,257.8134620972288,1,10,8,
960,334.336012938471,1004729.5940194868,0.9858596762828329,1.0693744425756138,0,334.336012938471,257113.40781875074,137.58136867083306,1,10,7,
1020,308.1471242112466,1005037.7411436981,0.9785546253423354,0.9925901716884891,0,308.1471242112466,212505.83107573655,58.98098296782763,1,10,3,
1080,326.7064169953712,1005364.4475606935,1,1.0670597835916396,0,326.7064169953712,164514.2291382149,26.088324102096138,1,10,2,
1140,308.88191460008346,1005673.3294752935,0.8977937402092512,0.8977937402092512,0,308.88191460008346,124113.5108287986,0,1,10,0,
1200,307.8196827715875,1005981.1491580651,0.7588576458257942,0.8452472008202299,0,307.8196827715875,86077.38679188825,0,1,8,0,
1260,267.15422956214775,1006248.3033876272,0.663473208343808,0.8743052297006401,0,267.15422956214775,46733.651455359446,0,1,7,0,
1320,229.63885142155843,1006477.9422390488,0.5342380719212049,0.8052142350326312,0,229.63885142155843,10499.010878891044,0,1,7,0,
1380,155.58136909645683,1006633.5236081452,0.5,0.8915266771177283,0,155.58136909645683,0,0,1,3,0,
1440,79.48160540992798,1006713.0052135551,0.5,0.8236009122700314,0,79.48160540992798,0,0,1,3,0,
1500,45.17145932654503,1006758.1766728816,0.5,0.9421836537074573,0,45.17145932654503,0,0,1,2,0,
VEHICLES,
id, vType, NOx_total_veh, n_packages, step_ini, step_fin, total_time(sec),median_package,enter_cz,
veh5,normalVehicle,1092.756692057798,7,86,1348,1262,180.28571428571428,False,
veh7,normalVehicle,1169.9221816647741,6,91,1350,1259,209.83333333333334,False,
veh9,eVehicle,0.0,10,101,1377,1276,127.6,False,
veh4,normalVehicle,901.2072774257622,10,81,1190,1109,110.9,False,
veh6,eVehicle,0.0,8,91,1550,1459,182.375,False,
veh10,normalVehicle,976.0389558257393,5,121,1530,1409,281.8,False,
veh3,normalVehicle,845.8454835015033,8,71,1251,1180,147.5,False,
veh8,normalVehicle,899.7723460326192,5,93,1448,1355,271.0,False,
veh2,normalVehicle,887.1229885975928,8,71,1346,1275,159.375,False,
veh1,eVehicle,0.0,7,11,1150,1139,162.71428571428572,False,
ALL SIMULATION,
total_steps(sec), minutes, median_package_all_sim,
1550,26.0,183.33833333333334,
