Windows:
0. NOx_total_w: 0. NOx_control_zone_w: 75. veh_total_number_w: 0. Vehicles: . Nº veh in control zone: 0. Vehicles in control zone: 
50. NOx_total_w: 133.6943218450847. NOx_control_zone_w: 0. veh_total_number_w: 8. Vehicles: veh4,veh3,veh5,veh0,veh6,veh1,veh7,veh2,. Nº veh in control zone: 0. Vehicles in control zone: 
100. NOx_total_w: 164.8607364351798. NOx_control_zone_w: 0. veh_total_number_w: 11. Vehicles: veh10,veh4,veh3,veh5,veh0,veh6,veh8,veh1,veh7,veh9,veh2,. Nº veh in control zone: 0. Vehicles in control zone: 
150. NOx_total_w: 340.4883269908075. NOx_control_zone_w: 0. veh_total_number_w: 18. Vehicles: veh12,veh14,veh15,veh10,veh4,veh16,veh11,veh3,veh5,veh0,veh6,veh8,veh1,veh7,veh9,veh2,veh13,veh17,. Nº veh in control zone: 0. Vehicles in control zone: 
200. NOx_total_w: 436.5659161661903. NOx_control_zone_w: 0. veh_total_number_w: 24. Vehicles: veh23,veh20,veh14,veh10,veh4,veh18,veh11,veh3,veh8,veh2,veh13,veh12,veh15,veh16,veh5,veh19,veh0,veh6,veh1,veh7,veh21,veh9,veh22,veh17,. Nº veh in control zone: 0. Vehicles in control zone: 
250. NOx_total_w: 556.1525829024306. NOx_control_zone_w: 0. veh_total_number_w: 31. Vehicles: veh23,veh20,veh14,veh10,veh4,veh18,veh11,veh3,veh27,veh25,veh8,veh26,veh2,veh13,veh29,veh12,veh28,veh15,veh16,veh5,veh19,veh0,veh6,veh30,veh1,veh7,veh21,veh9,veh24,veh22,veh17,. Nº veh in control zone: 0. Vehicles in control zone: 
300. NOx_total_w: 593.3988499202814. NOx_control_zone_w: 0. veh_total_number_w: 37. Vehicles: veh23,veh20,veh14,veh10,veh4,veh18,veh11,veh3,veh27,veh25,veh34,veh8,veh26,veh35,veh32,veh2,veh36,veh13,veh29,veh12,veh28,veh33,veh15,veh16,veh5,veh19,veh0,veh6,veh30,veh1,veh31,veh7,veh21,veh9,veh24,veh22,veh17,. Nº veh in control zone: 0. Vehicles in control zone: 
350. NOx_total_w: 637.2706576543053. NOx_control_zone_w: 0. veh_total_number_w: 40. Vehicles: veh20,veh4,veh18,veh3,veh38,veh25,veh34,veh8,veh35,veh2,veh36,veh39,veh37,veh5,veh19,veh0,veh6,veh7,veh21,veh9,veh24,veh22,veh23,veh14,veh10,veh11,veh27,veh26,veh32,veh13,veh29,veh12,veh28,veh15,veh16,veh30,veh1,veh31,veh33,veh17,. Nº veh in control zone: 0. Vehicles in control zone: 
400. NOx_total_w: 873.2641469960394. NOx_control_zone_w: 21.15201793888965. veh_total_number_w: 44. Vehicles: veh20,veh4,veh18,veh3,veh38,veh25,veh34,veh8,veh35,veh2,veh36,veh39,veh37,veh5,veh19,veh0,veh6,veh7,veh21,veh40,veh9,veh24,veh22,veh23,veh14,veh10,veh43,veh11,veh42,veh27,veh41,veh26,veh32,veh13,veh29,veh12,veh28,veh15,veh16,veh30,veh1,veh31,veh33,veh17,. Nº veh in control zone: 2. Vehicles in control zone: veh3,veh0,
450. NOx_total_w: 896.5753328605898. NOx_control_zone_w: 42.984508460142024. veh_total_number_w: 48. Vehicles: veh20,veh4,veh18,veh3,veh38,veh25,veh34,veh8,veh35,veh2,veh36,veh39,veh37,veh5,veh19,veh0,veh6,veh7,veh21,veh40,veh9,veh24,veh45,veh22,veh23,veh14,veh10,veh43,veh11,veh42,veh27,veh41,veh26,veh44,veh32,veh13,veh29,veh12,veh28,veh46,veh15,veh47,veh16,veh30,veh1,veh31,veh33,veh17,. Nº veh in control zone: 6. Vehicles in control zone: veh0,veh3,veh4,veh6,veh1,veh2,
500. NOx_total_w: 1029.0570478345237. NOx_control_zone_w: 102.20641466509879. veh_total_number_w: 56. Vehicles: veh20,veh53,veh52,veh4,veh18,veh3,veh38,veh25,veh54,veh34,veh8,veh35,veh55,veh2,veh36,veh39,veh37,veh5,veh19,veh0,veh6,veh7,veh21,veh40,veh9,veh24,veh45,veh22,veh23,veh14,veh10,veh43,veh11,veh42,veh27,veh41,veh50,veh26,veh44,veh32,veh13,veh29,veh12,veh28,veh46,veh15,veh47,veh16,veh48,veh30,veh1,veh31,veh49,veh33,veh51,veh17,. Nº veh in control zone: 10. Vehicles in control zone: veh8,veh0,veh3,veh6,veh4,veh11,veh7,veh12,veh2,veh1,
550. NOx_total_w: 1174.7726586949445. NOx_control_zone_w: 204.22185615748091. veh_total_number_w: 64. Vehicles: veh20,veh53,veh52,veh4,veh18,veh3,veh38,veh25,veh54,veh34,veh8,veh35,veh55,veh2,veh36,veh39,veh37,veh63,veh5,veh19,veh56,veh0,veh6,veh57,veh7,veh21,veh40,veh9,veh24,veh45,veh22,veh23,veh14,veh10,veh43,veh11,veh42,veh27,veh61,veh41,veh59,veh50,veh26,veh44,veh32,veh58,veh13,veh29,veh12,veh28,veh46,veh15,veh47,veh62,veh16,veh60,veh48,veh30,veh1,veh31,veh49,veh33,veh51,veh17,. Nº veh in control zone: 13. Vehicles in control zone: veh8,veh14,veh0,veh3,veh6,veh19,veh4,veh7,veh11,veh12,veh2,veh1,veh13,
600. NOx_total_w: 1227.4178092493855. NOx_control_zone_w: 213.02041495169436. veh_total_number_w: 71. Vehicles: veh69,veh4,veh65,veh3,veh38,veh34,veh68,veh8,veh67,veh35,veh66,veh2,veh36,veh39,veh37,veh5,veh70,veh0,veh6,veh7,veh40,veh9,veh45,veh14,veh10,veh43,veh11,veh42,veh41,veh50,veh44,veh13,veh12,veh46,veh15,veh47,veh16,veh48,veh49,veh51,veh17,veh20,veh53,veh52,veh18,veh25,veh54,veh55,veh63,veh19,veh56,veh57,veh21,veh24,veh22,veh23,veh27,veh61,veh59,veh26,veh32,veh58,veh29,veh28,veh62,veh60,veh64,veh30,veh1,veh31,veh33,. Nº veh in control zone: 17. Vehicles in control zone: veh8,veh14,veh0,veh18,veh15,veh3,veh6,veh19,veh4,veh7,veh11,veh12,veh10,veh30,veh2,veh1,veh13,
650. NOx_total_w: 1309.9058712018375. NOx_control_zone_w: 233.6585933579411. veh_total_number_w: 76. Vehicles: veh69,veh4,veh65,veh3,veh38,veh34,veh68,veh8,veh67,veh35,veh66,veh2,veh36,veh39,veh37,veh71,veh5,veh75,veh70,veh0,veh6,veh7,veh40,veh9,veh45,veh72,veh14,veh10,veh43,veh11,veh42,veh41,veh50,veh44,veh13,veh12,veh46,veh15,veh47,veh16,veh48,veh49,veh51,veh17,veh20,veh53,veh52,veh18,veh25,veh54,veh73,veh55,veh63,veh19,veh56,veh57,veh21,veh24,veh22,veh23,veh27,veh61,veh59,veh26,veh32,veh58,veh29,veh28,veh62,veh60,veh64,veh30,veh1,veh31,veh74,veh33,. Nº veh in control zone: 17. Vehicles in control zone: veh8,veh14,veh0,veh18,veh15,veh3,veh6,veh19,veh4,veh7,veh10,veh11,veh12,veh30,veh2,veh1,veh13,
700. NOx_total_w: 1261.121688118533. NOx_control_zone_w: 200.89171751871868. veh_total_number_w: 78. Vehicles: veh69,veh4,veh65,veh3,veh38,veh34,veh68,veh8,veh67,veh35,veh66,veh2,veh36,veh39,veh37,veh71,veh5,veh75,veh70,veh0,veh6,veh7,veh40,veh9,veh76,veh45,veh72,veh14,veh10,veh43,veh11,veh42,veh41,veh50,veh77,veh44,veh13,veh12,veh46,veh15,veh47,veh16,veh48,veh49,veh51,veh17,veh20,veh53,veh52,veh18,veh25,veh54,veh73,veh55,veh63,veh19,veh56,veh57,veh21,veh24,veh22,veh23,veh27,veh61,veh59,veh26,veh32,veh58,veh29,veh28,veh62,veh60,veh64,veh30,veh1,veh31,veh74,veh33,. Nº veh in control zone: 24. Vehicles in control zone: veh14,veh18,veh15,veh34,veh13,veh8,veh3,veh19,veh12,veh4,veh35,veh30,veh6,veh2,veh37,veh1,veh32,veh0,veh29,veh24,veh7,veh11,veh27,veh10,
750. NOx_total_w: 1431.4146533906264. NOx_control_zone_w: 209.6341072395654. veh_total_number_w: 85. Vehicles: veh69,veh4,veh65,veh3,veh38,veh34,veh68,veh8,veh67,veh35,veh66,veh2,veh36,veh39,veh37,veh71,veh5,veh75,veh70,veh0,veh6,veh7,veh40,veh9,veh76,veh45,veh72,veh14,veh10,veh43,veh81,veh11,veh42,veh41,veh50,veh77,veh44,veh13,veh80,veh12,veh46,veh78,veh15,veh47,veh79,veh16,veh48,veh84,veh49,veh82,veh51,veh17,veh83,veh20,veh53,veh52,veh18,veh25,veh54,veh73,veh55,veh63,veh19,veh56,veh57,veh21,veh24,veh22,veh23,veh27,veh61,veh59,veh26,veh32,veh58,veh29,veh28,veh62,veh60,veh64,veh30,veh1,veh31,veh74,veh33,. Nº veh in control zone: 26. Vehicles in control zone: veh14,veh18,veh15,veh34,veh13,veh8,veh3,veh19,veh12,veh28,veh4,veh35,veh30,veh6,veh2,veh1,veh37,veh32,veh0,veh31,veh29,veh24,veh7,veh11,veh27,veh10,
800. NOx_total_w: 1388.75001435145. NOx_control_zone_w: 172.7404413753409. veh_total_number_w: 87. Vehicles: veh69,veh4,veh65,veh3,veh38,veh34,veh68,veh8,veh67,veh35,veh66,veh2,veh36,veh39,veh37,veh71,veh5,veh75,veh70,veh0,veh6,veh7,veh40,veh9,veh76,veh45,veh72,veh14,veh10,veh43,veh81,veh11,veh42,veh41,veh50,veh77,veh44,veh13,veh80,veh12,veh46,veh78,veh15,veh47,veh79,veh16,veh48,veh84,veh49,veh82,veh51,veh17,veh83,veh20,veh53,veh52,veh18,veh25,veh54,veh73,veh55,veh86,veh85,veh63,veh19,veh56,veh57,veh21,veh24,veh22,veh23,veh27,veh61,veh59,veh26,veh32,veh58,veh29,veh28,veh62,veh60,veh64,veh30,veh1,veh31,veh74,veh33,. Nº veh in control zone: 27. Vehicles in control zone: veh14,veh18,veh15,veh34,veh13,veh8,veh3,veh19,veh12,veh28,veh4,veh35,veh30,veh6,veh2,veh1,veh37,veh39,veh32,veh0,veh31,veh29,veh24,veh7,veh11,veh27,veh10,
850. NOx_total_w: 1518.7002230041933. NOx_control_zone_w: 178.78210807391773. veh_total_number_w: 92. Vehicles: veh69,veh4,veh65,veh3,veh38,veh34,veh68,veh8,veh67,veh35,veh66,veh2,veh36,veh39,veh37,veh71,veh5,veh75,veh70,veh0,veh6,veh7,veh40,veh9,veh76,veh45,veh72,veh14,veh10,veh43,veh81,veh11,veh42,veh41,veh50,veh77,veh44,veh13,veh80,veh12,veh46,veh78,veh15,veh47,veh79,veh16,veh48,veh84,veh49,veh82,veh51,veh17,veh83,veh20,veh53,veh52,veh18,veh88,veh25,veh54,veh87,veh73,veh55,veh89,veh86,veh85,veh63,veh19,veh56,veh57,veh91,veh21,veh90,veh24,veh22,veh23,veh27,veh61,veh59,veh26,veh32,veh58,veh29,veh28,veh62,veh60,veh64,veh30,veh1,veh31,veh74,veh33,. Nº veh in control zone: 25. Vehicles in control zone: veh14,veh18,veh15,veh34,veh13,veh8,veh19,veh12,veh28,veh4,veh35,veh30,veh2,veh37,veh1,veh39,veh32,veh31,veh29,veh46,veh24,veh7,veh11,veh27,veh10,
