Windows:
0. NOx_total_w: 75. NOx_control_zone_w: 75. veh_total_number_w: 0. Vehicles: . Nº veh in control zone: 0. Vehicles in control zone: 
60. NOx_total_w: 444.0395844905346. NOx_control_zone_w: 0. veh_total_number_w: 12. Vehicles: veh5,veh4,veh0,veh7,veh1,veh2,veh3,veh10,veh6,veh11,veh8,veh9,. Nº veh in control zone: 0. Vehicles in control zone: 
120. NOx_total_w: 3296.1674042257464. NOx_control_zone_w: 0. veh_total_number_w: 29. Vehicles: veh20,veh0,veh18,veh22,veh2,veh19,veh21,veh23,veh24,veh25,veh27,veh5,veh26,veh28,veh1,veh3,veh6,veh4,veh7,veh14,veh10,veh11,veh8,veh9,veh17,veh16,veh13,veh12,veh15,. Nº veh in control zone: 0. Vehicles in control zone: 
180. NOx_total_w: 18228.77521363398. NOx_control_zone_w: 0. veh_total_number_w: 43. Vehicles: veh20,veh18,veh37,veh22,veh19,veh21,veh23,veh24,veh25,veh27,veh26,veh28,veh32,veh29,veh33,veh31,veh35,veh30,veh34,veh36,veh40,veh42,veh38,veh39,veh41,veh0,veh2,veh5,veh1,veh3,veh6,veh4,veh7,veh14,veh10,veh11,veh8,veh9,veh17,veh16,veh13,veh12,veh15,. Nº veh in control zone: 0. Vehicles in control zone: 
240. NOx_total_w: 33163.428980170305. NOx_control_zone_w: 0. veh_total_number_w: 62. Vehicles: veh48,veh20,veh0,veh49,veh18,veh50,veh37,veh47,veh22,veh2,veh57,veh19,veh21,veh56,veh23,veh52,veh24,veh25,veh53,veh27,veh5,veh59,veh26,veh55,veh28,veh60,veh32,veh1,veh58,veh29,veh33,veh31,veh3,veh46,veh6,veh61,veh35,veh30,veh4,veh7,veh14,veh10,veh34,veh36,veh11,veh8,veh40,veh9,veh42,veh17,veh38,veh39,veh16,veh41,veh13,veh44,veh43,veh12,veh45,veh51,veh15,veh54,. Nº veh in control zone: 0. Vehicles in control zone: 
300. NOx_total_w: 40036.54445425511. NOx_control_zone_w: 0. veh_total_number_w: 79. Vehicles: veh20,veh18,veh37,veh22,veh19,veh21,veh23,veh24,veh25,veh27,veh26,veh28,veh32,veh29,veh33,veh31,veh46,veh64,veh35,veh30,veh34,veh36,veh40,veh42,veh38,veh39,veh41,veh44,veh43,veh45,veh51,veh54,veh48,veh0,veh49,veh50,veh47,veh2,veh57,veh56,veh52,veh53,veh5,veh59,veh55,veh60,veh1,veh58,veh71,veh62,veh3,veh63,veh6,veh61,veh66,veh73,veh65,veh4,veh7,veh70,veh67,veh14,veh68,veh69,veh10,veh72,veh78,veh11,veh75,veh8,veh9,veh74,veh17,veh76,veh77,veh16,veh13,veh12,veh15,. Nº veh in control zone: 0. Vehicles in control zone: 
360. NOx_total_w: 50630.23790971128. NOx_control_zone_w: 0. veh_total_number_w: 100. Vehicles: veh20,veh89,veh18,veh88,veh37,veh22,veh90,veh19,veh91,veh21,veh93,veh23,veh96,veh24,veh92,veh25,veh94,veh27,veh95,veh26,veh97,veh28,veh32,veh29,veh98,veh33,veh31,veh99,veh46,veh64,veh35,veh30,veh34,veh36,veh40,veh42,veh38,veh39,veh41,veh44,veh43,veh45,veh80,veh51,veh54,veh48,veh0,veh49,veh50,veh47,veh2,veh57,veh56,veh52,veh83,veh53,veh5,veh59,veh55,veh60,veh1,veh58,veh71,veh62,veh3,veh63,veh6,veh61,veh66,veh73,veh65,veh4,veh82,veh7,veh70,veh67,veh14,veh68,veh69,veh10,veh72,veh78,veh11,veh75,veh8,veh84,veh9,veh74,veh17,veh76,veh87,veh77,veh16,veh79,veh13,veh81,veh85,veh12,veh86,veh15,. Nº veh in control zone: 0. Vehicles in control zone: 
420. NOx_total_w: 59717.472735159165. NOx_control_zone_w: 33.8664535727454. veh_total_number_w: 116. Vehicles: veh20,veh89,veh18,veh88,veh37,veh22,veh90,veh19,veh91,veh21,veh93,veh23,veh96,veh24,veh92,veh25,veh94,veh27,veh95,veh26,veh97,veh28,veh107,veh32,veh100,veh29,veh98,veh33,veh101,veh31,veh99,veh46,veh64,veh35,veh106,veh30,veh102,veh103,veh104,veh115,veh109,veh110,veh34,veh112,veh36,veh108,veh111,veh40,veh105,veh42,veh113,veh38,veh114,veh39,veh41,veh44,veh43,veh45,veh80,veh51,veh54,veh48,veh0,veh49,veh50,veh47,veh2,veh57,veh56,veh52,veh83,veh53,veh5,veh59,veh55,veh60,veh1,veh58,veh71,veh62,veh3,veh63,veh6,veh61,veh66,veh73,veh65,veh4,veh82,veh7,veh70,veh67,veh14,veh68,veh69,veh10,veh72,veh78,veh11,veh75,veh8,veh84,veh9,veh74,veh17,veh76,veh87,veh77,veh16,veh79,veh13,veh81,veh85,veh12,veh86,veh15,. Nº veh in control zone: 3. Vehicles in control zone: veh4,veh0,veh6,
480. NOx_total_w: 71347.23976307326. NOx_control_zone_w: 289.98680072371195. veh_total_number_w: 134. Vehicles: veh20,veh89,veh18,veh88,veh37,veh22,veh90,veh19,veh91,veh21,veh93,veh23,veh96,veh24,veh92,veh25,veh94,veh27,veh95,veh26,veh97,veh28,veh107,veh32,veh100,veh29,veh98,veh33,veh101,veh31,veh99,veh46,veh64,veh35,veh106,veh30,veh102,veh103,veh104,veh115,veh128,veh109,veh110,veh34,veh112,veh36,veh108,veh111,veh40,veh105,veh42,veh113,veh38,veh114,veh39,veh123,veh41,veh116,veh44,veh43,veh117,veh45,veh121,veh80,veh51,veh133,veh54,veh118,veh48,veh131,veh0,veh49,veh119,veh50,veh120,veh47,veh124,veh2,veh57,veh122,veh129,veh56,veh130,veh52,veh125,veh83,veh126,veh53,veh127,veh5,veh59,veh55,veh60,veh1,veh58,veh132,veh71,veh62,veh3,veh63,veh6,veh61,veh66,veh73,veh65,veh4,veh82,veh7,veh70,veh67,veh14,veh68,veh69,veh10,veh72,veh78,veh11,veh75,veh8,veh84,veh9,veh74,veh17,veh76,veh87,veh77,veh16,veh79,veh13,veh81,veh85,veh12,veh86,veh15,. Nº veh in control zone: 10. Vehicles in control zone: veh3,veh8,veh7,veh14,veh1,veh19,veh2,veh4,veh0,veh6,
540. NOx_total_w: 79374.72419405016. NOx_control_zone_w: 4584.094078525474. veh_total_number_w: 145. Vehicles: veh20,veh89,veh18,veh88,veh37,veh22,veh90,veh19,veh91,veh21,veh93,veh23,veh96,veh24,veh92,veh25,veh94,veh27,veh95,veh26,veh97,veh28,veh107,veh32,veh100,veh29,veh98,veh33,veh101,veh31,veh99,veh46,veh64,veh35,veh106,veh30,veh102,veh103,veh104,veh115,veh128,veh109,veh110,veh34,veh112,veh36,veh108,veh111,veh40,veh105,veh42,veh113,veh38,veh114,veh39,veh123,veh41,veh116,veh44,veh43,veh117,veh45,veh121,veh51,veh133,veh54,veh118,veh48,veh131,veh0,veh49,veh119,veh50,veh120,veh47,veh124,veh2,veh57,veh122,veh129,veh56,veh130,veh52,veh125,veh126,veh53,veh127,veh5,veh59,veh136,veh55,veh60,veh137,veh1,veh58,veh132,veh71,veh62,veh135,veh3,veh63,veh134,veh6,veh138,veh61,veh66,veh140,veh73,veh65,veh139,veh4,veh82,veh143,veh7,veh70,veh142,veh67,veh141,veh14,veh68,veh69,veh144,veh10,veh72,veh78,veh11,veh75,veh8,veh84,veh9,veh74,veh17,veh76,veh87,veh77,veh16,veh79,veh13,veh81,veh85,veh80,veh12,veh86,veh83,veh15,. Nº veh in control zone: 23. Vehicles in control zone: veh3,veh7,veh14,veh20,veh10,veh4,veh37,veh6,veh27,veh8,veh9,veh13,veh11,veh2,veh21,veh0,veh18,veh22,veh5,veh1,veh19,veh12,veh15,
600. NOx_total_w: 82558.01344245275. NOx_control_zone_w: 16720.835598907597. veh_total_number_w: 158. Vehicles: veh20,veh89,veh18,veh88,veh37,veh22,veh90,veh19,veh91,veh21,veh93,veh23,veh96,veh24,veh92,veh25,veh94,veh27,veh95,veh26,veh97,veh28,veh107,veh32,veh100,veh29,veh98,veh33,veh101,veh31,veh99,veh46,veh64,veh35,veh106,veh30,veh102,veh103,veh104,veh115,veh128,veh109,veh110,veh34,veh112,veh36,veh108,veh111,veh40,veh105,veh42,veh113,veh38,veh114,veh39,veh123,veh41,veh116,veh44,veh43,veh117,veh45,veh121,veh51,veh133,veh54,veh118,veh48,veh131,veh0,veh49,veh119,veh50,veh120,veh47,veh124,veh2,veh57,veh122,veh129,veh56,veh130,veh52,veh125,veh126,veh53,veh127,veh5,veh59,veh136,veh55,veh147,veh60,veh137,veh1,veh58,veh132,veh71,veh62,veh135,veh3,veh63,veh134,veh6,veh138,veh61,veh149,veh66,veh140,veh73,veh146,veh65,veh139,veh4,veh82,veh143,veh7,veh70,veh142,veh67,veh141,veh14,veh68,veh152,veh69,veh144,veh10,veh72,veh145,veh78,veh11,veh75,veh151,veh8,veh84,veh148,veh9,veh155,veh74,veh150,veh17,veh76,veh87,veh77,veh153,veh16,veh79,veh13,veh81,veh154,veh85,veh157,veh80,veh12,veh86,veh156,veh83,veh15,. Nº veh in control zone: 46. Vehicles in control zone: veh3,veh7,veh16,veh14,veh38,veh51,veh20,veh10,veh4,veh45,veh29,veh53,veh46,veh37,veh30,veh33,veh17,veh6,veh27,veh8,veh42,veh9,veh11,veh13,veh40,veh2,veh26,veh21,veh0,veh18,veh31,veh32,veh22,veh5,veh1,veh43,veh28,veh44,veh19,veh25,veh35,veh24,veh61,veh12,veh15,veh23,
660. NOx_total_w: 81952.86072476643. NOx_control_zone_w: 33446.022221081126. veh_total_number_w: 176. Vehicles: veh20,veh89,veh18,veh88,veh37,veh22,veh90,veh19,veh91,veh21,veh93,veh23,veh96,veh24,veh92,veh25,veh94,veh27,veh95,veh26,veh97,veh28,veh107,veh32,veh100,veh29,veh98,veh33,veh101,veh31,veh99,veh46,veh159,veh64,veh35,veh106,veh30,veh102,veh103,veh104,veh115,veh128,veh109,veh110,veh34,veh112,veh36,veh108,veh111,veh40,veh105,veh42,veh113,veh38,veh114,veh39,veh123,veh41,veh116,veh44,veh43,veh117,veh45,veh121,veh51,veh133,veh54,veh118,veh48,veh131,veh0,veh49,veh119,veh50,veh120,veh47,veh124,veh2,veh57,veh122,veh129,veh56,veh130,veh52,veh125,veh126,veh53,veh127,veh5,veh59,veh136,veh55,veh147,veh60,veh137,veh1,veh58,veh132,veh71,veh62,veh135,veh3,veh63,veh134,veh6,veh138,veh61,veh149,veh66,veh140,veh73,veh146,veh65,veh139,veh4,veh82,veh143,veh7,veh70,veh142,veh67,veh141,veh14,veh68,veh152,veh69,veh144,veh10,veh72,veh145,veh78,veh11,veh75,veh151,veh8,veh84,veh148,veh9,veh155,veh74,veh150,veh17,veh76,veh161,veh87,veh160,veh77,veh153,veh16,veh79,veh13,veh81,veh154,veh85,veh157,veh80,veh12,veh86,veh156,veh83,veh15,veh158,veh165,veh164,veh163,veh162,veh166,veh167,veh168,veh171,veh169,veh173,veh170,veh172,veh174,veh175,. Nº veh in control zone: 57. Vehicles in control zone: veh3,veh34,veh7,veh48,veh16,veh14,veh36,veh41,veh38,veh63,veh51,veh20,veh10,veh4,veh45,veh29,veh53,veh46,veh58,veh37,veh57,veh30,veh33,veh17,veh6,veh27,veh55,veh8,veh54,veh42,veh9,veh47,veh11,veh13,veh40,veh2,veh26,veh21,veh0,veh18,veh39,veh31,veh32,veh22,veh5,veh1,veh28,veh43,veh44,veh19,veh25,veh24,veh35,veh61,veh12,veh15,veh23,
720. NOx_total_w: 91441.22154565605. NOx_control_zone_w: 40694.190609784506. veh_total_number_w: 199. Vehicles: veh20,veh89,veh18,veh88,veh37,veh22,veh90,veh19,veh91,veh21,veh93,veh23,veh96,veh24,veh92,veh25,veh94,veh27,veh95,veh26,veh97,veh28,veh107,veh32,veh100,veh29,veh98,veh33,veh101,veh31,veh99,veh46,veh159,veh64,veh35,veh106,veh30,veh102,veh103,veh104,veh115,veh128,veh109,veh110,veh34,veh112,veh36,veh108,veh111,veh40,veh105,veh42,veh113,veh38,veh114,veh39,veh123,veh41,veh116,veh44,veh43,veh117,veh45,veh121,veh51,veh133,veh54,veh118,veh48,veh131,veh0,veh49,veh119,veh50,veh120,veh47,veh124,veh2,veh57,veh122,veh129,veh56,veh130,veh52,veh125,veh126,veh53,veh127,veh5,veh59,veh136,veh55,veh147,veh60,veh137,veh1,veh58,veh132,veh71,veh62,veh135,veh3,veh63,veh134,veh6,veh138,veh61,veh149,veh66,veh140,veh73,veh146,veh65,veh139,veh4,veh82,veh143,veh7,veh70,veh142,veh67,veh141,veh14,veh68,veh152,veh69,veh144,veh10,veh72,veh145,veh78,veh11,veh75,veh151,veh8,veh84,veh148,veh9,veh155,veh74,veh150,veh17,veh76,veh161,veh87,veh160,veh77,veh153,veh16,veh79,veh13,veh81,veh154,veh85,veh157,veh80,veh12,veh86,veh156,veh83,veh15,veh158,veh190,veh165,veh164,veh163,veh162,veh166,veh167,veh168,veh171,veh169,veh173,veh170,veh172,veh176,veh174,veh175,veh178,veh181,veh191,veh177,veh179,veh184,veh180,veh182,veh185,veh187,veh197,veh183,veh186,veh196,veh188,veh193,veh189,veh192,veh198,veh195,veh194,. Nº veh in control zone: 57. Vehicles in control zone: veh3,veh34,veh7,veh48,veh16,veh14,veh36,veh41,veh38,veh63,veh51,veh20,veh10,veh4,veh45,veh29,veh53,veh46,veh58,veh37,veh57,veh30,veh33,veh17,veh6,veh27,veh55,veh8,veh54,veh42,veh9,veh47,veh11,veh13,veh40,veh2,veh26,veh21,veh0,veh18,veh39,veh31,veh32,veh22,veh5,veh1,veh28,veh43,veh44,veh19,veh25,veh24,veh35,veh61,veh12,veh15,veh23,
780. NOx_total_w: 105640.5487886926. NOx_control_zone_w: 41769.63422276485. veh_total_number_w: 213. Vehicles: veh20,veh89,veh18,veh88,veh37,veh22,veh90,veh19,veh91,veh21,veh93,veh23,veh96,veh24,veh92,veh25,veh94,veh27,veh95,veh26,veh97,veh28,veh107,veh32,veh100,veh29,veh98,veh33,veh101,veh31,veh99,veh46,veh159,veh64,veh35,veh106,veh30,veh102,veh103,veh104,veh115,veh128,veh109,veh110,veh34,veh112,veh36,veh108,veh111,veh40,veh105,veh42,veh113,veh38,veh114,veh39,veh123,veh41,veh116,veh44,veh43,veh117,veh45,veh121,veh51,veh133,veh54,veh118,veh48,veh131,veh0,veh49,veh119,veh50,veh120,veh47,veh124,veh2,veh57,veh122,veh129,veh56,veh130,veh52,veh125,veh126,veh53,veh127,veh5,veh59,veh136,veh55,veh147,veh60,veh137,veh1,veh58,veh132,veh71,veh62,veh135,veh3,veh63,veh134,veh6,veh138,veh61,veh149,veh66,veh140,veh73,veh146,veh65,veh139,veh4,veh82,veh143,veh7,veh70,veh142,veh67,veh141,veh14,veh68,veh152,veh69,veh144,veh10,veh72,veh145,veh78,veh11,veh75,veh151,veh8,veh84,veh148,veh9,veh155,veh74,veh150,veh17,veh76,veh161,veh87,veh160,veh77,veh153,veh16,veh79,veh13,veh81,veh154,veh85,veh157,veh80,veh12,veh86,veh156,veh83,veh15,veh158,veh190,veh165,veh164,veh163,veh162,veh166,veh167,veh168,veh171,veh169,veh173,veh170,veh172,veh176,veh174,veh175,veh178,veh181,veh191,veh177,veh179,veh184,veh180,veh182,veh185,veh187,veh197,veh183,veh186,veh196,veh188,veh193,veh189,veh192,veh198,veh195,veh204,veh194,veh201,veh202,veh199,veh210,veh203,veh200,veh211,veh205,veh207,veh212,veh206,veh209,veh208,. Nº veh in control zone: 57. Vehicles in control zone: veh3,veh34,veh7,veh48,veh16,veh14,veh36,veh41,veh38,veh63,veh51,veh20,veh10,veh4,veh45,veh29,veh53,veh46,veh58,veh37,veh57,veh30,veh33,veh17,veh6,veh27,veh55,veh8,veh54,veh42,veh9,veh47,veh11,veh13,veh40,veh2,veh26,veh21,veh0,veh18,veh39,veh31,veh32,veh22,veh5,veh1,veh28,veh43,veh44,veh19,veh25,veh24,veh35,veh61,veh12,veh15,veh23,
840. NOx_total_w: 106467.41071212046. NOx_control_zone_w: 42447.11075428885. veh_total_number_w: 229. Vehicles: veh20,veh89,veh18,veh88,veh37,veh22,veh90,veh19,veh91,veh21,veh93,veh23,veh96,veh24,veh92,veh25,veh94,veh27,veh95,veh26,veh97,veh28,veh107,veh32,veh100,veh29,veh98,veh33,veh101,veh31,veh99,veh46,veh159,veh64,veh35,veh106,veh30,veh102,veh103,veh104,veh115,veh128,veh109,veh110,veh34,veh112,veh36,veh108,veh111,veh40,veh105,veh42,veh113,veh38,veh114,veh39,veh123,veh41,veh116,veh44,veh43,veh117,veh45,veh121,veh51,veh133,veh54,veh118,veh48,veh131,veh0,veh49,veh119,veh50,veh120,veh47,veh124,veh2,veh57,veh122,veh129,veh56,veh130,veh52,veh125,veh126,veh53,veh127,veh5,veh59,veh136,veh55,veh147,veh60,veh137,veh1,veh58,veh132,veh71,veh62,veh135,veh3,veh63,veh134,veh6,veh138,veh61,veh149,veh66,veh140,veh73,veh146,veh65,veh139,veh4,veh82,veh143,veh7,veh70,veh142,veh67,veh141,veh14,veh68,veh152,veh69,veh144,veh10,veh72,veh145,veh78,veh11,veh75,veh151,veh8,veh84,veh148,veh9,veh155,veh74,veh150,veh17,veh76,veh161,veh87,veh160,veh77,veh153,veh16,veh79,veh13,veh81,veh154,veh85,veh157,veh80,veh12,veh86,veh156,veh83,veh15,veh158,veh190,veh165,veh164,veh163,veh162,veh166,veh167,veh168,veh171,veh169,veh173,veh170,veh172,veh176,veh174,veh175,veh178,veh181,veh191,veh177,veh179,veh184,veh180,veh182,veh185,veh187,veh197,veh183,veh186,veh196,veh188,veh193,veh189,veh192,veh198,veh195,veh204,veh194,veh201,veh202,veh199,veh210,veh203,veh200,veh225,veh211,veh205,veh207,veh212,veh206,veh217,veh209,veh208,veh220,veh222,veh214,veh216,veh215,veh213,veh218,veh221,veh228,veh219,veh224,veh226,veh223,veh227,. Nº veh in control zone: 56. Vehicles in control zone: veh3,veh34,veh7,veh48,veh16,veh14,veh36,veh41,veh38,veh63,veh51,veh20,veh10,veh4,veh45,veh29,veh53,veh46,veh58,veh37,veh57,veh30,veh33,veh17,veh6,veh27,veh55,veh8,veh54,veh42,veh9,veh47,veh11,veh13,veh40,veh2,veh26,veh21,veh18,veh39,veh31,veh32,veh22,veh5,veh1,veh28,veh43,veh44,veh19,veh25,veh24,veh35,veh61,veh12,veh15,veh23,
900. NOx_total_w: 122687.59992479392. NOx_control_zone_w: 44240.77817413858. veh_total_number_w: 247. Vehicles: veh20,veh89,veh234,veh18,veh88,veh231,veh37,veh248,veh22,veh90,veh236,veh19,veh91,veh233,veh21,veh93,veh237,veh23,veh96,veh235,veh24,veh92,veh238,veh25,veh94,veh241,veh27,veh95,veh239,veh26,veh97,veh242,veh28,veh107,veh240,veh32,veh100,veh29,veh98,veh33,veh101,veh243,veh31,veh99,veh244,veh46,veh159,veh245,veh64,veh35,veh106,veh30,veh102,veh103,veh104,veh115,veh128,veh109,veh110,veh34,veh112,veh36,veh108,veh111,veh40,veh105,veh42,veh113,veh38,veh114,veh39,veh123,veh41,veh116,veh44,veh43,veh117,veh45,veh121,veh51,veh133,veh54,veh118,veh48,veh131,veh0,veh49,veh119,veh50,veh120,veh47,veh124,veh2,veh57,veh122,veh129,veh56,veh130,veh52,veh125,veh126,veh53,veh127,veh5,veh59,veh136,veh55,veh147,veh60,veh137,veh1,veh58,veh132,veh71,veh62,veh135,veh3,veh63,veh134,veh6,veh138,veh61,veh149,veh66,veh140,veh73,veh146,veh65,veh139,veh4,veh82,veh143,veh7,veh70,veh142,veh67,veh141,veh14,veh68,veh152,veh69,veh144,veh10,veh72,veh145,veh78,veh11,veh75,veh151,veh8,veh84,veh148,veh9,veh155,veh74,veh150,veh17,veh76,veh161,veh87,veh160,veh77,veh153,veh16,veh79,veh13,veh81,veh154,veh85,veh157,veh80,veh12,veh86,veh156,veh83,veh15,veh158,veh190,veh165,veh164,veh163,veh162,veh166,veh167,veh168,veh171,veh169,veh173,veh170,veh172,veh176,veh174,veh175,veh178,veh181,veh191,veh177,veh179,veh184,veh180,veh182,veh185,veh187,veh197,veh183,veh186,veh196,veh188,veh193,veh189,veh192,veh198,veh195,veh204,veh194,veh201,veh202,veh199,veh210,veh203,veh200,veh225,veh211,veh205,veh207,veh212,veh206,veh217,veh209,veh208,veh220,veh222,veh214,veh216,veh215,veh213,veh218,veh221,veh228,veh219,veh224,veh226,veh232,veh223,veh229,veh227,veh230,. Nº veh in control zone: 53. Vehicles in control zone: veh3,veh34,veh7,veh48,veh16,veh14,veh36,veh41,veh38,veh63,veh51,veh20,veh10,veh45,veh29,veh53,veh46,veh58,veh37,veh57,veh30,veh33,veh17,veh27,veh55,veh8,veh54,veh42,veh9,veh47,veh11,veh13,veh40,veh2,veh26,veh21,veh18,veh39,veh31,veh32,veh22,veh5,veh1,veh28,veh43,veh44,veh25,veh24,veh35,veh61,veh12,veh15,veh23,
960. NOx_total_w: 126225.14482011365. NOx_control_zone_w: 42195.14041624404. veh_total_number_w: 266. Vehicles: veh20,veh89,veh234,veh18,veh88,veh231,veh37,veh248,veh22,veh90,veh236,veh19,veh91,veh233,veh21,veh93,veh237,veh23,veh96,veh235,veh24,veh92,veh238,veh25,veh94,veh241,veh27,veh95,veh239,veh26,veh97,veh242,veh28,veh107,veh240,veh32,veh100,veh247,veh29,veh98,veh259,veh33,veh101,veh243,veh31,veh99,veh244,veh46,veh159,veh245,veh64,veh249,veh35,veh106,veh254,veh30,veh102,veh258,veh246,veh103,veh251,veh104,veh252,veh115,veh255,veh128,veh250,veh109,veh260,veh110,veh253,veh34,veh112,veh257,veh36,veh108,veh256,veh111,veh261,veh40,veh265,veh105,veh42,veh113,veh262,veh38,veh114,veh39,veh123,veh264,veh41,veh116,veh263,veh44,veh43,veh117,veh45,veh121,veh51,veh133,veh54,veh118,veh48,veh131,veh0,veh49,veh119,veh50,veh120,veh47,veh124,veh2,veh57,veh122,veh129,veh56,veh130,veh52,veh125,veh126,veh53,veh127,veh5,veh59,veh136,veh55,veh147,veh60,veh137,veh1,veh58,veh132,veh71,veh62,veh135,veh3,veh63,veh134,veh6,veh138,veh61,veh149,veh66,veh140,veh73,veh146,veh65,veh139,veh4,veh82,veh143,veh7,veh70,veh142,veh67,veh141,veh14,veh68,veh152,veh69,veh144,veh10,veh72,veh145,veh78,veh11,veh75,veh151,veh8,veh84,veh148,veh9,veh155,veh74,veh150,veh17,veh76,veh161,veh87,veh160,veh77,veh153,veh16,veh79,veh13,veh81,veh154,veh85,veh157,veh80,veh12,veh86,veh156,veh83,veh15,veh158,veh190,veh165,veh164,veh163,veh162,veh166,veh167,veh168,veh171,veh169,veh173,veh170,veh172,veh176,veh174,veh175,veh178,veh181,veh191,veh177,veh179,veh184,veh180,veh182,veh185,veh187,veh197,veh183,veh186,veh196,veh188,veh193,veh189,veh192,veh198,veh195,veh204,veh194,veh201,veh202,veh199,veh210,veh203,veh200,veh225,veh211,veh205,veh207,veh212,veh206,veh217,veh209,veh208,veh220,veh222,veh214,veh216,veh215,veh213,veh218,veh221,veh228,veh219,veh224,veh226,veh232,veh223,veh229,veh227,veh230,. Nº veh in control zone: 48. Vehicles in control zone: veh34,veh7,veh48,veh16,veh36,veh41,veh38,veh63,veh51,veh20,veh10,veh45,veh29,veh23,veh53,veh46,veh58,veh37,veh57,veh30,veh33,veh17,veh27,veh55,veh54,veh42,veh9,veh47,veh11,veh13,veh40,veh21,veh18,veh39,veh31,veh32,veh22,veh5,veh28,veh43,veh44,veh25,veh24,veh35,veh61,veh12,veh15,veh26,
