BASELINE, 
PARAMETERS,
window_size, threshold_L, threshold_H, alpha_ini, p_t_ini, min_packages, max_packages,
60,200,250,0.5,75,5,10,
WINDOWS,
step, NOx_total_w, NOx_total_acum, alpha, lambda, p_t_total, e_t_total, p_t_control_zone, e_t_control_zone, k_control_zone, num_veh_total, num_vehicles_control_zone,  
0,75,75,0.5,0.8,75,75,75,75,1,0,0,
60,444.0395844905346,519.0395844905346,0.5,0.9360098262228973,0,444.0395844905346,0,0,1,12,0,
120,3296.1674042257464,3815.206988716281,0.5889093514306759,1.1778187028613518,0,3296.1674042257464,0,0,1,29,0,
180,18228.77521363398,22043.98220235026,0.6999558888963281,1.1885630397885167,0,18228.77521363398,0,0,1,43,0,
240,33163.428980170305,55207.41118252056,0.5855138595269367,0.836501083589938,0,33163.428980170305,0,0,1,62,0,
300,40036.54445425511,95243.95563677567,0.5,0.807157696916543,0,40036.54445425511,0,0,1,79,0,
360,50630.23790971128,145874.19354648696,0.5,0.9502062471246471,0,50630.23790971128,0,0,1,100,0,
420,59717.472735159165,205591.66628164612,0.5790932788510265,1.158186557702053,0,59717.472735159165,0,33.8664535727454,1,116,3,
480,71347.23976307326,276938.9060447194,0.6864474239828878,1.1853831654631906,0,71347.23976307326,0,289.98680072371195,1,134,10,
540,79374.72419405016,356313.6302387696,0.5938250945670243,0.8650700313238082,0,79374.72419405016,0,4584.094078525474,1,145,23,
600,82558.01344245275,438871.64368122234,0.6870294510166867,1.1569559072231874,0,82558.01344245275,0,16720.835598907597,1,158,46,
660,81952.86072476643,520824.5044059888,0.7080296729308232,1.0305666982442452,0,81952.86072476643,2529.0212737537695,33446.022221081126,1,176,57,
720,91441.22154565605,612265.7259516448,0.7772992115936836,1.0978342311221585,0,91441.22154565605,10288.184949873517,40694.190609784506,0,199,57,
780,105640.5487886926,717906.2747403374,0.6806680819103161,0.8756834842463737,0,105640.5487886926,25787.314645247156,41769.63422276485,0,213,57,
840,106467.41071212046,824373.6854524579,0.7577784945241796,1.113286364768935,0,106467.41071212046,34835.83445646795,42447.11075428885,0,229,56,
900,122687.59992479392,947061.2853772518,0.8973267443662093,1.1841544077199686,0,122687.59992479392,43551.98039900747,44240.77817413858,0,247,53,
960,126225.14482011365,1073286.4301973653,0.9485497419152544,1.05708399740746,0,126225.14482011365,54034.60089302772,42195.14041624404,0,266,48,
1020,136618.76295947479,1209905.19315684,1,1.119923504577995,0,136618.76295947479,48331.40939956523,27894.51364387736,0,284,39,
1080,141166.58067591224,1351071.7738327524,0.9504670385059221,0.9504670385059221,0,141166.58067591224,31728.517090326746,11911.118845939178,0,299,21,
1140,145826.39912033008,1496898.1729530825,1,1.1391236136955276,0,145826.39912033008,0,1571.5431173358888,0,314,7,
1200,157395.01553367035,1654293.1884867528,1,1.1109632418803632,0,157395.01553367035,0,11115.884623186404,1,329,14,
1260,173552.92037661638,1827846.108863369,1,1.0529551641445773,0,173552.92037661638,0,15577.103976590985,1,351,24,
1320,188068.09744518163,2015914.2063085507,0.8046692179538993,0.8046692179538993,0,188068.09744518163,0,17595.99390553103,1,366,42,
1380,197019.3968143461,2212933.603122897,0.6619249919078172,0.8226050868342523,0,197019.3968143461,0,17190.484774973713,1,377,59,
1440,208226.01125088913,2421159.614373786,0.5599614531820126,0.8459590739550071,0,208226.01125088913,1728.2074737542607,27106.979692404475,1,389,83,
1500,224647.79138144426,2645807.40575523,0.5864018575776563,1.0472182580522187,0,224647.79138144426,8853.879444134938,38542.21971194724,0,368,79,
1560,224401.57013846879,2870208.975893699,0.5,0.8111269814937987,0,224401.57013846879,20616.77354557591,36096.70354625493,0,384,76,
1620,240158.70223645456,3110367.6781301536,0.5,0.8946545850913734,0,240158.70223645456,21711.788274844534,27934.652282009825,0,391,74,
1680,239862.55098887335,3350230.229119027,0.5,0.9462588634696399,0,239862.55098887335,12958.85246036285,19634.830089607516,0,413,66,
1740,247659.0140007332,3597889.2431197604,0.5,0.9546510542300737,0,247659.0140007332,3031.459699117255,18712.138865656616,0,419,58,
1800,255896.62538955,3853785.8685093103,0.5,0.8459765606869699,2103.6571834589995,255896.62538955,0,17912.106267201358,0,432,45,
1860,275407.335797578,4129193.2043068884,0.5,0.9463784391461898,0,275407.335797578,0,10573.687879248231,1,434,33,
1920,250039.0551980177,4379232.259504906,0.5,0.9053092677176127,0,250039.0551980177,0,9604.410489625858,1,433,31,
1980,241767.68706225418,4620999.94656716,0.5,0.8303924761843262,0,241767.68706225418,0,15801.200125876318,1,422,58,
2040,240700.03631387552,4861699.982881036,0.5478691904747147,1.0957383809494294,0,240700.03631387552,8928.092643239193,41800.244071722074,1,411,88,
2100,235912.2475865453,5097612.230467581,0.5506644607992374,1.0051020761399279,0,235912.2475865453,45244.912970864796,66469.88261182344,0,419,89,
2160,243657.71256577925,5341269.943033361,0.6213273556871568,1.128322962381409,0,243657.71256577925,73659.92996063622,62264.70586121369,0,422,88,
2220,240898.10252219296,5582168.045555553,0.5946430546913691,0.9570527504518512,0,240898.10252219296,98806.64166518033,53858.29421809964,0,421,78,
2280,240840.30931107284,5823008.354866627,0.6392730425399236,1.0750534080848186,0,240840.30931107284,122210.55946993295,55655.52004729718,0,404,75,
2340,228626.05342709672,6051634.408293723,0.6875162393053579,1.075465714264686,0,228626.05342709672,131362.66345778183,41416.07541578948,0,405,57,
2400,243003.7630858913,6294638.171379615,0.739004394336281,1.0748900928986709,0,243003.7630858913,138319.56911154196,39203.60844072025,0,416,40,
2460,241268.45137877698,6535906.622758391,0.8124615042380461,1.0994000989232802,0,241268.45137877698,129807.99813180685,24470.43198796329,0,427,33,
2520,245680.4257482848,6781587.048506676,0.9719166156049783,1.1962617435228204,0,245680.4257482848,106300.35403774554,12380.208211623314,0,436,24,
2580,239350.8009840119,7020937.849490688,1,1.0936247395983205,0,239350.8009840119,73491.61184979591,0,0,443,0,
2640,234998.85009446985,7255936.699585158,0.9885664065362573,0.9885664065362573,0,234998.85009446985,43834.61965370819,0,0,454,0,
2700,244470.66519893252,7500407.364784091,0.8651599375551019,0.8751662324703634,0,244470.66519893252,17579.63267959729,0,0,458,0,
2760,245233.73003046904,7745641.094814559,1,1.1801749737665859,0,245233.73003046904,0,0,0,445,0,
2820,230909.05082584667,7976550.145640406,0.8871905097025293,0.8871905097025293,0,230909.05082584667,0,9847.501939438955,1,447,20,
2880,226892.41425052655,8203442.559890932,0.9391219546780862,1.058534716509726,0,226892.41425052655,0,19742.564193523456,1,458,47,
2940,232663.99734434288,8436106.557235274,0.9226640275245855,0.9824751971013794,0,232663.99734434288,4858.131366470643,34332.387279512026,1,467,79,
3000,236591.91887099456,8672698.47610627,0.7539481663436972,0.8171426910036409,0,236591.91887099456,30434.755266733642,50090.90463037223,0,470,79,
3060,228406.685594936,8901105.161701206,0.6670340498180473,0.8847213636089287,0,228406.685594936,50612.972054843805,46719.85769637803,0,463,79,
3120,226526.1518767703,9127631.313577976,0.6795672727294383,1.018789479959546,0,226526.1518767703,64426.16225104962,44376.8745949922,0,469,78,
3180,222572.78919659977,9350204.102774575,0.6882476622929959,1.0127734073018164,0,222572.78919659977,74698.38568407255,40655.425652077414,0,472,67,
