BASELINE, 
PARAMETERS,
window_size, threshold_L, threshold_H, alpha_ini, p_t_ini, min_packages, max_packages,
60,200,250,0.5,75,5,10,
WINDOWS,
step, NOx_total_w, NOx_total_acum, alpha, lambda, p_t_total, e_t_total, p_t_control_zone, e_t_control_zone, k_control_zone, num_veh_total, num_vehicles_control_zone,  
0,75,75,0.5,0.8,75,75,75,75,1,0,0,
60,444.0395844905346,519.0395844905346,0.5,0.995142662609659,481.5395844905346,444.0395844905346,37.5,0,1,12,0,
120,3296.1674042257464,3815.206988716281,0.5,0.803681975421754,3536.9371964710135,3296.1674042257464,18.75,0,1,29,0,
180,18228.77521363398,22043.98220235026,0.5353697079699948,1.0707394159399897,20122.34424761688,18228.77521363398,10.038182024437404,0,1,43,0,
240,33163.428980170305,55207.41118252056,0.6060461530611754,1.1320142773097308,45358.49830201118,33163.428980170305,6.08360159963813,0,1,62,0,
300,40036.54445425511,95243.95563677567,0.5738345167423268,0.9468495325708353,66064.81640754735,40036.54445425511,3.4909805839811923,0,1,79,0,
360,50630.23790971128,145874.19354648696,0.5952233330986818,1.037273492152023,89953.5581323641,50630.23790971128,2.077913098980068,0,1,100,0,
420,59717.472735159165,205591.66628164612,0.5854930343986409,0.9836526927642674,112384.65444103155,59717.472735159165,35.083057218283926,33.8664535727454,1,116,3,
480,74038.20530425377,279629.8715858999,0.5524113245611451,0.9434976884541862,136120.7611243706,74038.20530425377,292.4736926447154,273.09341453710874,0,134,8,
540,83191.98865725224,362821.8602431521,0.5,0.8454006162029001,151252.36921943753,83191.98865725224,486.880758571172,340.6439122488143,0,145,8,
600,83890.02632667663,446711.8865698287,0.5,0.9532954562652185,159516.2109363954,83890.02632667663,635.4359072655612,391.99552797997524,0,158,8,
660,91202.90969772785,537914.7962675566,0.5446499614965454,1.0892999229930909,178083.40784231044,91202.90969772785,694.3003545664103,348.2102121406999,0,176,8,
720,85824.92590186793,623739.7221694245,0.6095441280309607,1.1191483909337003,194374.621451891,85824.92590186793,771.1278749603824,347.921170744613,0,199,8,
780,98460.1430897991,722199.8652592236,0.6572123963677369,1.0782031458341848,226205.5538472681,98460.1430897991,874.3374999879455,367.54270137927205,0,213,8,
840,101487.3606857508,823687.2259449745,0.6796503501961083,1.0341410995172655,255228.04457435122,101487.3606857508,904.7247710925151,310.480983036118,0,229,7,
900,114576.85614466708,938264.0820896416,0.5760970386892991,0.847637374898829,261612.97681441123,114576.85614466708,650.1014428981653,128.8921814429134,0,247,4,
960,117133.82624915976,1055397.9083388015,0.5979810601417326,1.0379866931831878,273573.43147147587,117133.82624915976,388.7483500239149,0,0,266,0,
1020,128371.82847283891,1183769.7368116404,0.7003995190510695,1.1712737505182218,319982.5283006113,128371.82847283891,272.2791573886468,0,0,284,0,
1080,130179.46337760567,1313949.200189246,0.6679744932034694,0.9537049570057803,343919.6305531713,130179.46337760567,181.87553216654902,0,0,299,0,
1140,146331.1452123053,1460280.3454015513,0.6605906942992067,0.9889459867414225,373521.2527425514,146331.1452123053,533.3653174991938,413.2200334292555,0,314,6,
1200,152088.86945433525,1612369.2148558865,0.6875495419771732,1.0408102141168762,408903.2356962164,152088.86945433525,1043.6625343429935,676.9474545899131,0,329,9,
1260,171269.2463175096,1783638.461173396,0.7125421892399706,1.0363503220305064,462630.0530677993,171269.2463175096,1631.9677197622655,888.3141327137728,0,352,13,
1320,185440.16167786985,1969078.622851266,0.829091156875221,1.163567813099694,569002.6475810965,185440.16167786985,2814.6914081282334,1461.6414033675203,0,368,18,
1380,194180.9878426891,2163259.6106939553,0.761339113421981,0.9182815509592551,627384.959086841,194180.9878426891,3926.4368730960996,1783.5022118752831,0,384,19,
1440,207990.45131304138,2371250.062006997,0.6283079681994164,0.8252668976579552,602181.4202357684,207990.45131304138,4306.675698873799,1839.6641248755193,0,402,22,
1500,236647.62066285178,2607897.6826698487,0.5374643014475491,0.8554153832996835,560298.6370345621,236647.62066285178,4253.885536263189,1939.2010902068482,0,409,20,
1560,247719.46413587985,2855617.1468057283,0.5954301665048836,1.1078506328722026,581338.1748778285,247719.46413587985,4531.65140353366,1998.7596303837536,0,425,19,
1620,260828.9269887099,3116446.073794438,0.5,0.8391516288675085,551498.0144276242,260828.9269887099,4128.44936522576,1862.6236634589297,0,436,18,
1680,271280.513340393,3387726.587134831,0.5,0.8469171242567718,547029.5205542052,271280.513340393,3635.8449447928065,1571.6202621799266,0,455,17,
1740,273001.57047582266,3660728.157610654,0.5,0.9411536273306698,546516.3307529252,273001.57047582266,3027.109805993426,1209.1873335970229,0,458,15,
1800,276103.0912343167,3936831.2488449705,0.5930184323822562,1.1860368647645123,600197.348968719,276103.0912343167,2522.417285456687,727.2853736575096,0,452,10,
1860,257547.13356082828,4194378.382405799,0.6616154843318679,1.1156744010030948,654646.9932934705,257547.13356082828,2071.6537919685934,402.7834579640923,0,435,7,
1920,241513.93314354334,4435892.315549342,0.7105004540739055,1.0738872818120393,706640.9191366711,241513.93314354334,1647.1196204670412,175.20866058942744,0,431,6,
