HISTORICAL - NO CONTROL ZONE, 
PARAMETERS,
window_size, alpha_ini, p_t_ini, min_packages, max_packages,
60,0.5,75,5,10,
WINDOWS,
step, NOx_total_w, NOx_total_acum, alpha, lambda, p_t_total, e_t_total, p_t_control_zone, e_t_control_zone, num_veh_total, num_vehicles_control_zone,  
0,75,75,0.5,0.8,75,75,75,75,0,0,
60,444.0395844905346,519.0395844905346,0.5,0.995142662609659,481.5395844905346,444.0395844905346,37.5,0,12,0,
120,3296.1674042257464,3815.206988716281,0.5,0.803681975421754,3536.9371964710135,3296.1674042257464,18.75,0,29,0,
180,18228.77521363398,22043.98220235026,0.5353697079699948,1.0707394159399897,20122.34424761688,18228.77521363398,10.038182024437404,0,43,0,
240,33163.428980170305,55207.41118252056,0.6060461530611754,1.1320142773097308,45358.49830201118,33163.428980170305,6.08360159963813,0,62,0,
300,40036.54445425511,95243.95563677567,0.5738345167423268,0.9468495325708353,66064.81640754735,40036.54445425511,3.4909805839811923,0,79,0,
360,50630.23790971128,145874.19354648696,0.5952233330986818,1.037273492152023,89953.5581323641,50630.23790971128,2.077913098980068,0,100,0,
420,59717.472735159165,205591.66628164612,0.5854930343986409,0.9836526927642674,112384.65444103155,59717.472735159165,35.083057218283926,33.8664535727454,116,3,
480,71347.23976307326,276938.9060447194,0.598233641657145,1.0217604762310963,138579.5208557114,71347.23976307326,310.9746658038719,289.98680072371195,134,10,
540,79374.72419405016,356313.6302387696,0.5578259388364089,0.9324549807850921,156677.97551888705,79374.72419405016,4757.563813431858,4584.094078525474,145,23,
600,82558.01344245275,438871.64368122234,0.5,0.8281813892222468,160897.0012018963,82558.01344245275,19099.617505623526,16720.835598907597,158,46,
660,81952.86072476643,520824.5044059888,0.5,0.9091657747274721,162401.36132571456,81952.86072476643,42995.83097389289,33446.022221081126,176,57,
720,85025.87630275014,605850.3807087389,0.5,0.8901496053274408,166226.55696560742,85025.87630275014,61565.19992333329,40067.28443638684,199,85,
780,96619.63472828246,702470.0154370214,0.5033199033898786,1.0066398067797573,180284.76932104415,96619.63472828246,88209.90484556911,57222.914367978425,213,103,
840,101869.86156915425,804339.8770061757,0.5789254472010913,1.1502136976940638,206241.30227188533,101869.86156915425,120159.61324550319,69092.65463521639,229,120,
900,115221.49097068339,919561.3679768591,0.5028586021722302,0.8686068380710875,218931.70394130406,115221.49097068339,140495.09003741597,80071.79488322645,247,133,
960,116911.40741040994,1036472.775387269,0.5036847721529731,1.001642946898341,227183.97282714787,116911.40741040994,154284.14583432442,83518.9084202171,266,139,
1020,128087.04088955643,1164559.8162768255,0.5907592714762175,1.1728749887574508,262298.07916799514,128087.04088955643,166134.88824669964,74990.09865328365,284,142,
1080,135190.56249654025,1299750.3787733656,0.5359391608767902,0.9072039775822048,275766.37494542944,135190.56249654025,150360.16921140585,61321.976612110346,299,135,
1140,142464.0921543413,1442214.470927707,0.5,0.9282903821442657,280347.27962705604,142464.0921543413,125879.4475577833,50699.36295208038,315,142,
1200,147499.0686126413,1589713.539540348,0.5,0.9459567215763572,287672.70842616935,147499.0686126413,98531.33679265111,35591.61301375946,329,141,
1260,169782.9675028009,1759496.507043149,0.5,0.9803634469729168,313619.32171588554,169782.9675028009,82755.4301846287,33489.761788303134,351,127,
1320,181754.81796986176,1941251.3250130108,0.5,0.8042024606074689,338564.47882780456,181754.81796986176,80572.28587661,39194.570784295654,364,127,
1380,191594.5312229708,2132845.8562359815,0.5570271232989532,1.1140542465979064,380184.12891563214,191594.5312229708,78922.274157709,34041.32553824006,376,124,
1440,204507.04750239404,2337352.9037383753,0.5908967195992448,1.0608042138050682,429156.60212233744,204507.04750239404,86662.56399907445,40027.65109597195,387,129,
1500,214142.08349153594,2551494.987229911,0.5475804793899908,0.9266940587542408,449139.861415065,214142.08349153594,94102.07408205725,46647.34574227832,366,140,
1560,218639.26964782682,2770134.256877738,0.5,0.9072255270218991,443209.20035535935,218639.26964782682,101124.26538520481,54073.22834417618,373,139,
1620,208903.21972923397,2979037.476606972,0.5,0.8308427945055665,430507.8199069137,208903.21972923397,106303.89152822335,55741.758835620945,347,133,
1680,191593.96496534348,3170631.4415723155,0.5681437044493476,1.1362874088986952,436184.27256167,191593.96496534348,124692.76020150885,64296.87347128241,354,154,
1740,201262.10940660295,3371893.5509789186,0.650433408934389,1.1448395957582556,484970.9327324566,201262.10940660295,152921.20448222995,71816.86739492424,339,147,
1800,196817.96830133547,3568711.519280254,0.5874634136339613,0.9031876369887087,481720.64795759064,196817.96830133547,172563.15007744776,82727.53727529992,346,148,
1860,208015.0493661521,3776726.568646406,0.602519382195353,1.025628776553518,498261.0765643047,208015.0493661521,196713.19301058294,92740.55043623515,350,149,
