VE;;;;;;;;;;;
PARAMETERS;;;;;;;;;;;
window_size; threshold_L; threshold_H; p_t_ini; e_ini; size_ratio; subs_NOx; min_packages; max_packages;;;
60;80000;100000;100000;4000;4;9000;1;20;;;
ALL SIMULATION RESULTS;;;;;;;;;;;
total_steps(sec); minutes; avg_time_per_package (sec); p_t_total_all_steps; e_t_total_all_steps; p_t_control_zone_all_steps;  e_t_control_zone_all_steps; avg_k_all_steps; veh_enter_cz_all_steps; not_veh_enter_cz_all_steps; avg_total_time_all_steps;
4769;79.0;1379.913870246085;267131172.7615756;9028906.794256262;8965119.382156728;658209.8453001997;0.30109485922093926;26;58;1391.8214285714287;
WINDOWS;;;;;;;;;;;
step; NOx_total_w; NOx_total_acum; lambda; p_t_total; e_t_total; p_t_control_zone; e_t_control_zone; k_control_zone; num_veh_total; num_vehicles_control_zone;  
0;0;0;0.8;100000;0;100000;0;1;0;0;
60;0;0;0.8537456976449606;85265.15488478143;0;96316.28872119535;0;0.0;0;0;
120;3281.608622905961;3281.608622905961;1.138973494774893;60262.10907288528;3281.608622905961;90065.52726822131;0;0.18418556394023253;2;0;
180;15613.70241503375;18895.31103793971;1.1055098475906455;36463.75455962204;15613.70241503375;84115.93863990551;0;0.4967236365889345;5;0;
240;29342.81429950347;48238.12533744318;0.9020276102957687;33333.57488847783;29342.81429950347;79997.69014724359;0;0.7942030680047246;8;0;
300;34040.800449338356;82278.92578678153;0.9981740348367764;31440.11008369224;34040.800449338356;75014.1238337126;0;1;9;0;
360;44363.73987189009;126642.66565867161;0.9797964259154952;40531.178622624495;44363.73987189009;70195.95600047315;0;1;13;0;
420;50754.80147613887;177397.4671348105;1.060637189089105;53103.04129155558;50754.80147613887;64650.2212986712;0;1;14;0;
480;60548.19179088118;237945.65892569168;1.1154893404542052;73493.61682608537;60548.19179088118;58610.81723458335;0;1;16;0;
540;61829.76870742336;299775.42763311503;0.837543834709694;105171.80748395974;61829.76870742336;56481.44218629557;5408.519464099466;1;17;3;
600;66676.6895699261;366452.1172030411;0.8113389906088025;142640.29339196894;66676.6895699261;69531.43771746251;20352.046446646167;1;17;6;
660;64135.0828047504;430587.2000077915;1.1343060415679478;165940.3587002732;64135.0828047504;85194.6831930374;25871.99984968641;1;17;8;
720;70815.10594763835;501402.30595542985;0.9731068271620213;201723.61887007876;70815.10594763835;107748.54563094757;31311.823882368364;0.7402658403481298;18;8;
780;82060.71535268737;583463.0213081172;1.1049120329831768;244007.50103537174;82060.71535268737;131258.25773382277;33453.920399723786;0;19;9;
840;84890.15887094323;668353.1801790604;0.8008424213404444;300067.332738059;84890.15887094323;159206.61623606418;35155.9402943054;0;20;9;
900;92734.43311167134;761087.6132907318;0.9781548776219205;357588.19025534124;92734.43311167134;181807.8889909265;31404.666653459586;0;22;9;
960;98937.56180379166;860025.1750945235;1.088616012936313;417335.57559342566;98937.56180379166;192016.38602320824;20006.04114870854;0;22;8;
1020;106988.66461160293;967013.8397061264;0.8915048885081811;492230.06421873404;106988.66461160293;196005.73465595502;12012.89262932041;0;24;3;
1080;113201.73111864677;1080215.570824773;1.1781082782215688;563019.8973214044;113201.73111864677;193064.66885562224;7661.908703661314;0;26;3;
1140;125991.12221296252;1206206.6930377355;1.1605709830445934;647230.4641447616;125991.12221296252;184469.01234598208;1849.4823377611694;0;28;1;
1200;131277.12611291138;1337483.819150647;0.8122359932134214;749267.0945019898;131277.12611291138;177158.88840706128;0;0;30;0;
1260;145948.2731373553;1483432.0922880021;0.8101783443973843;866048.9472410392;145948.2731373553;169867.28330748482;0;0;31;0;
1320;148217.2867010071;1631649.3789890092;1.0165649891173987;977669.89433382;148217.2867010071;160718.19840542824;0;0;33;0;
1380;145261.38316926156;1776910.7621582707;1.1756596651114042;1080607.529559071;145261.38316926156;150137.2614194256;0;0;31;0;
1440;156121.63876323067;1933032.4009215015;0.952481695075285;1202439.8272995914;156121.63876323067;141564.92616374802;0;0;37;0;
1500;174414.805073186;2107447.2059946875;0.8866397588522453;1344935.6010540966;174414.805073186;133585.1683340778;0;0;38;0;
1560;178303.90636545164;2285751.1123601394;0.9688466302330869;1488361.028731157;178303.90636545164;124865.54866198002;0;0;40;0;
1620;186633.1263267359;2472384.2386868754;0.8116163150299472;1645775.9677168147;186633.1263267359;117561.00182671049;0;0;42;0;
1680;203016.0291181864;2675400.267805062;0.8886766665092141;1816799.6368406694;203016.0291181864;109562.91182812756;0;0;45;0;
1740;210321.86035624176;2885722.1281613037;0.9751550374602288;1992015.915848343;210321.86035624176;100786.5164909855;0;0;45;0;
1800;212112.90348923104;3097835.031650535;0.9983248965527403;2168189.123061675;212112.90348923104;91801.59242201083;0;0;44;0;
1860;214425.87187254976;3312260.9035230847;0.8932337801030291;2350458.578850516;214425.87187254976;90867.98359954132;7105.495198457752;0.4099203788994586;45;3;
1920;204204.1280917182;3516465.031614803;0.8923466166163937;2522538.228744044;204204.1280917182;97221.49853525608;14384.6344852623;0.45660082002293423;42;4;
1980;201434.56096680972;3717899.5925816125;0.8875124149350755;2692022.342773191;201434.56096680972;105302.68314384439;16068.79634300399;0.1389250732371962;41;4;
2040;197692.15910368602;3915591.7516852985;0.9838413862950934;2854296.211970254;197692.15910368602;111899.93745632494;15451.826789136401;0;42;4;
