RRE;;;;;;;;;;;
PARAMETERS;;;;;;;;;;;
window_size; threshold_L; threshold_H; p_t_ini; e_ini; size_ratio; subs_NOx; min_packages; max_packages;;;
60;80000;100000;100000;4000;4;9000;1;20;;;
ALL SIMULATION RESULTS;;;;;;;;;;;
total_steps(sec); minutes; avg_time_per_package (sec); p_t_total_all_steps; e_t_total_all_steps; p_t_control_zone_all_steps;  e_t_control_zone_all_steps; avg_k_all_steps; veh_enter_cz_all_steps; avg_total_time_all_steps;;
5053;84.0;1.379.755.033.557.040;2.978.410.592.863.310;9.055.836.944.211.610;8.765.412.141.932.460;6.037.471.885.089.170;3.489.359.792.150.130;24;13.939.642.857.142.800;;
WINDOWS;;;;;;;;;;;
step; NOx_total_w; NOx_total_acum; lambda; p_t_total; e_t_total; p_t_control_zone; e_t_control_zone; k_control_zone; num_veh_total; num_vehicles_control_zone;  
0;0;0;0.8;100000;0;100000;0;1;0;0;
60;0;0;0.8537456976449606;8.526.515.488.478.140;0;9.631.628.872.119.530;0;0.0;0;0;
120;28.463.457.205.823.300;28.463.457.205.823.300;1.138.973.494.774.890;6.026.210.907.288.520;28.463.457.205.823.300;9.006.552.726.822.130;0;0.18418556394023253;2;0;
180;15.786.169.687.058.500;18.632.515.407.640.900;11.055.098.475.906.400;3.646.375.455.962.200;15.786.169.687.058.500;8.411.593.863.990.550;0;0.4967236365889345;5;0;
240;2.908.522.115.181.790;4.771.773.655.945.880;0.9020276102957687;3.307.598.174.079.230;2.908.522.115.181.790;7.999.769.014.724.350;0;0.7942030680047246;8;0;
300;3.381.680.948.392.860;815.345.460.433.875;0.9981740348367764;3.095.852.597.059.690;3.381.680.948.392.860;750.141.238.337.126;0;1;9;0;
360;442.075.309.738.455;12.574.207.701.723.300;0.9797964259154952;3.989.338.561.148.460;442.075.309.738.455;7.019.595.600.047.310;0;1;13;0;
420;5.060.094.173.486.950;17.634.301.875.210.200;1.060.637.189.089.100;52.311.388.539.146.400;5.060.094.173.486.950;646.502.212.986.712;0;1;14;0;
480;6.047.750.302.844.750;23.682.052.178.055.000;11.154.893.404.542.000;7.263.127.531.124.250;6.047.750.302.844.750;5.861.081.723.458.330;0;1;16;0;
540;61.719.749.469.960.500;2.985.402.712.505.100;0.837543834709694;10.419.944.673.165.400;61.719.749.469.960.500;5.648.144.218.629.550;5.408.519.464.099.460;1;17;3;
600;665.471.327.048.273;365.087.403.955.338;0.8113389906088025;14.153.837.577.456.400;665.471.327.048.273;6.906.410.521.720.080;1.988.471.394.638.440;1;17;6;
660;6.466.089.815.484.680;42.974.830.211.018.400;11.343.060.415.679.400;16.536.425.643.296.500;6.466.089.815.484.680;8.488.554.984.222.760;26.030.198.999.138.300;1;17;8;
720;73.695.385.395.927;50.344.368.750.611.100;0.9731068271620213;2.040.277.960.510.590;73.695.385.395.927;10.712.409.179.136.600;30.996.503.393.596.800;0.7557225078886186;18;8;
780;8.273.231.331.874.850;5.861.760.008.248.600;11.049.120.329.831.700;24.698.327.618.241.300;8.273.231.331.874.850;12.658.105.930.490.800;2.940.117.581.039.050;0;19;8;
840;864.736.809.817.562;6.726.496.818.066.160;0.8008424213404444;3.046.266.299.959.130;864.736.809.817.562;1.509.088.294.548.020;3.153.535.194.195.860;0;20;8;
900;9.479.074.577.847.460;7.674.404.275.850.910;0.9781548776219205;3.642.038.001.799.990;9.479.074.577.847.460;16.939.566.456.683.900;27.290.229.010.633.700;0;22;8;
960;10.062.408.602.913.100;8.680.645.136.142.220;1.088.616.012.936.310;42.563.770.974.342.300;10.062.408.602.913.100;17.668.876.107.135.200;17.090.640.620.939.700;0;22;7;
1020;10.858.260.197.043.200;976.647.115.584.655;0.8915048885081811;5.021.261.357.275.610;10.858.260.197.043.200;1.762.015.389.955.100;7.536.321.920.731.550;0;24;2;
1080;11.452.927.202.073.600;1.091.176.387.605.390;11.781.082.782.215.600;5.742.435.097.323.200;11.452.927.202.073.600;16.957.560.810.178.500;397.704.361.026.899;0;26;2;
1140;12.654.221.432.911.500;1.217.718.601.934.500;11.605.709.830.445.900;6.590.051.686.718.300;12.654.221.432.911.500;15.913.046.925.438.300;0;0;28;0;
1200;12.984.912.775.369.700;13.475.677.296.882.000;0.8122359932134214;7.596.138.006.698.440;12.984.912.775.369.700;15.182.034.531.546.300;0;0;30;0;
1260;14.539.194.027.694.000;14.929.596.699.651.400;0.8101783443973843;8.758.393.205.484.790;14.539.194.027.694.000;1.445.287.402.158.860;0;0;31;0;
1320;14.947.041.823.005.600;16.424.300.881.952.000;10.165.649.891.173.900;9.887.133.991.703.090;14.947.041.823.005.600;13.537.965.531.383;0;0;33;0;
1380;14.392.528.646.227.000;17.863.553.746.574.700;11.756.596.651.114.000;10.903.149.376.885.600;14.392.528.646.227.000;12.479.871.832.782.700;0;0;31;0;
1440;15.803.794.127.899.500;19.443.933.159.364.600;0.952481695075285;12.140.635.379.448.500;15.803.794.127.899.500;11.622.638.307.214.900;0;0;37;0;
1500;17.454.781.975.326.800;2.118.941.135.689.730;0.8866397588522453;13.566.923.263.794.400;17.454.781.975.326.800;1.082.466.252.424.790;0;0;38;0;
1560;18.413.411.523.820.600;2.303.075.250.927.940;0.9688466302330869;15.059.479.629.292.500;18.413.411.523.820.600;9.952.700.557.038.180;0;0;41;0;
