VE;;;;;;;;;;;
PARAMETERS;;;;;;;;;;;
window_size; threshold_L; threshold_H; p_t_ini; e_ini; size_ratio; subs_NOx; min_packages; max_packages;;;
60;80000;100000;100000;4000;4;9000;1;20;;;
ALL SIMULATION RESULTS;;;;;;;;;;;
total_steps(sec); minutes; avg_time_per_package (sec); p_t_total_all_steps; e_t_total_all_steps; p_t_control_zone_all_steps;  e_t_control_zone_all_steps; avg_k_all_steps; veh_enter_cz_all_steps; avg_total_time_all_steps;;
5054;84.0;13.942.762.863.534.600;29.698.645.994.600.200;9.124.763.846.787.710;9.829.967.191.587.130;5.828.067.264.522.440;29.808.359.519.763.900;23;13.995.119.047.619.000;;
WINDOWS;;;;;;;;;;;
step; NOx_total_w; NOx_total_acum; lambda; p_t_total; e_t_total; p_t_control_zone; e_t_control_zone; k_control_zone; num_veh_total; num_vehicles_control_zone;  
0;0;0;0.8;100000;0;100000;0;1;0;0;
60;0;0;0.8537456976449606;8.526.515.488.478.140;0;9.631.628.872.119.530;0;0.0;0;0;
120;28.463.457.205.823.300;28.463.457.205.823.300;1.138.973.494.774.890;6.026.210.907.288.520;28.463.457.205.823.300;9.006.552.726.822.130;0;0.18418556394023253;2;0;
180;15.786.169.687.058.500;18.632.515.407.640.900;11.055.098.475.906.400;3.646.375.455.962.200;15.786.169.687.058.500;8.411.593.863.990.550;0;0.4967236365889345;5;0;
240;2.908.522.115.181.790;4.771.773.655.945.880;0.9020276102957687;3.307.598.174.079.230;2.908.522.115.181.790;7.999.769.014.724.350;0;0.7942030680047246;8;0;
300;3.381.680.948.392.860;815.345.460.433.875;0.9981740348367764;3.095.852.597.059.690;3.381.680.948.392.860;750.141.238.337.126;0;1;9;0;
360;442.075.309.738.455;12.574.207.701.723.300;0.9797964259154952;3.989.338.561.148.460;442.075.309.738.455;7.019.595.600.047.310;0;1;13;0;
420;5.060.094.173.486.950;17.634.301.875.210.200;1.060.637.189.089.100;52.311.388.539.146.400;5.060.094.173.486.950;646.502.212.986.712;0;1;14;0;
480;6.047.750.302.844.750;23.682.052.178.055.000;11.154.893.404.542.000;7.263.127.531.124.250;6.047.750.302.844.750;5.861.081.723.458.330;0;1;16;0;
540;61.719.749.469.960.500;2.985.402.712.505.100;0.837543834709694;10.419.944.673.165.400;61.719.749.469.960.500;5.648.144.218.629.550;5.408.519.464.099.460;1;17;3;
600;665.471.327.048.273;365.087.403.955.338;0.8113389906088025;14.153.837.577.456.400;665.471.327.048.273;6.906.410.521.720.080;1.988.471.394.638.440;1;17;6;
660;6.466.089.815.484.680;42.974.830.211.018.400;11.343.060.415.679.400;16.536.425.643.296.500;6.466.089.815.484.680;8.488.554.984.222.760;26.030.198.999.138.300;1;17;8;
720;7.047.278.225.835.020;50.022.108.436.853.500;0.9731068271620213;20.080.519.291.348.200;7.047.278.225.835.020;10.712.409.179.136.600;30.996.503.393.596.800;0.7557225078886186;18;8;
780;8.341.799.079.565.080;583.639.075.164.186;11.049.120.329.831.700;24.444.635.052.173.900;8.341.799.079.565.080;1.265.688.937.141.490;2.938.901.021.963.200;0;19;8;
840;8.601.710.790.130.730;6.696.561.830.654.930;0.8008424213404444;30.163.313.125.479.000;8.601.710.790.130.730;15.103.130.306.615.700;3.166.999.114.407.150;0;20;8;
900;9.412.325.803.913.460;763.779.441.104.628;0.9781548776219205;36.054.281.369.953.600;9.412.325.803.913.460;16.960.610.327.087.500;2.737.819.410.331.550;0;22;8;
960;10.089.830.625.640.100;8.646.777.473.610.290;1.088.616.012.936.310;4.222.509.434.902.300;10.089.830.625.640.100;17.680.136.284.215.900;16.992.803.687.711.100;0;22;7;
1020;10.889.552.324.130.200;9.735.732.706.023.320;0.8915048885081811;49.905.229.074.523.800;10.889.552.324.130.200;17.631.414.076.631.700;7.536.321.920.731.550;0;24;2;
1080;11.342.809.928.622.000;10.870.013.698.885.500;11.781.082.782.215.600;5.700.684.920.154.820;11.342.809.928.622.000;16.968.820.987.259.200;397.704.361.026.899;0;26;2;
1140;12.585.035.054.175.300;12.128.517.204.303.000;11.605.709.830.445.900;6.541.382.871.676.300;12.585.035.054.175.300;1.592.430.710.251.910;0;0;28;0;
1200;13.095.305.548.602.400;1.343.804.775.916.330;0.8122359932134214;7.558.508.468.979.720;13.095.305.548.602.400;15.193.294.708.627.000;0;0;30;0;
1260;14.457.628.137.713.100;14.883.810.572.934.600;0.8101783443973843;8.712.607.078.767.970;14.457.628.137.713.100;14.464.134.198.669.400;0;0;31;0;
1320;14.895.559.380.764.900;16.373.366.511.011.100;10.165.649.891.173.900;983.619.962.076.221;14.895.559.380.764.900;13.549.225.708.463.700;0;0;33;0;
1380;14.504.140.738.269.300;1.782.378.058.483.800;11.756.596.651.114.000;10.863.376.215.149.000;14.504.140.738.269.300;12.491.132.009.863.400;0;0;31;0;
1440;15.605.985.645.402.900;1.938.437.914.937.830;0.952481695075285;12.081.081.369.462.200;15.605.985.645.402.900;11.633.898.484.295.700;0;0;37;0;
1500;17.512.317.430.106.400;21.135.610.892.388.900;0.8866397588522453;13.513.122.799.286.000;17.512.317.430.106.400;10.835.922.701.328.700;0;0;38;0;
1560;18.453.323.879.852.000;22.980.943.280.374.200;0.9688466302330869;15.009.670.400.387.300;18.453.323.879.852.000;9.963.960.734.118.920;0;0;41;0;
