noControl;;;;;;;;;;;
PARAMETERS;;;;;;;;;;;
window_size; threshold_L; threshold_H; p_t_ini; e_ini; size_ratio; subs_NOx; min_packages; max_packages;;;
60;80000;100000;100000;4000;4;9000;1;20;;;
ALL SIMULATION RESULTS;;;;;;;;;;;
total_steps(sec); minutes; avg_time_per_package (sec); p_t_total_all_steps; e_t_total_all_steps; p_t_control_zone_all_steps;  e_t_control_zone_all_steps; avg_k_all_steps; veh_enter_cz_all_steps; avg_total_time_all_steps;;
4757;79.0;11.766.968.680.089.400;17.610.003.120.417.100;6.474.050.007.049.070;7.370.806.756.817.780;21.373.250.817.724.600;80;84;11.814.285.714.285.700;;
WINDOWS;;;;;;;;;;;
step; NOx_total_w; NOx_total_acum; lambda; p_t_total; e_t_total; p_t_control_zone; e_t_control_zone; k_control_zone; num_veh_total; num_vehicles_control_zone;  
0;0;0;0.8;100000;0;100000;0;1;0;0;
60;0;0;0.8537456976449606;8.526.515.488.478.140;0;9.631.628.872.119.530;0;1;0;0;
120;28.463.457.205.823.300;28.463.457.205.823.300;1.138.973.494.774.890;6.026.210.907.288.520;28.463.457.205.823.300;9.006.552.726.822.130;0;1;2;0;
180;15.786.169.687.058.500;18.632.515.407.640.900;11.055.098.475.906.400;3.646.375.455.962.200;15.786.169.687.058.500;8.411.593.863.990.550;0;1;5;0;
240;2.908.522.115.181.790;4.771.773.655.945.880;0.9020276102957687;3.307.598.174.079.230;2.908.522.115.181.790;7.999.769.014.724.350;0;1;8;0;
300;3.381.680.948.392.860;815.345.460.433.875;0.9981740348367764;3.095.852.597.059.690;3.381.680.948.392.860;750.141.238.337.126;0;1;9;0;
360;442.075.309.738.455;12.574.207.701.723.300;0.9797964259154952;3.989.338.561.148.460;442.075.309.738.455;7.019.595.600.047.310;0;1;13;0;
420;5.060.094.173.486.950;17.634.301.875.210.200;1.060.637.189.089.100;52.311.388.539.146.400;5.060.094.173.486.950;646.502.212.986.712;0;1;14;0;
480;6.047.750.302.844.750;23.682.052.178.055.000;11.154.893.404.542.000;7.263.127.531.124.250;6.047.750.302.844.750;5.861.081.723.458.330;0;1;16;0;
540;61.719.749.469.960.500;2.985.402.712.505.100;0.837543834709694;10.419.944.673.165.400;61.719.749.469.960.500;5.648.144.218.629.550;5.408.519.464.099.460;1;17;3;
600;665.471.327.048.273;365.087.403.955.338;0.8113389906088025;14.153.837.577.456.400;665.471.327.048.273;6.906.410.521.720.080;1.988.471.394.638.440;1;17;6;
660;6.466.089.815.484.680;42.974.830.211.018.400;11.343.060.415.679.400;16.536.425.643.296.500;6.466.089.815.484.680;8.488.554.984.222.760;26.030.198.999.138.300;1;17;8;
720;65.349.697.884.983.100;495.097.999.995.168;0.9731068271620213;19.568.210.854.011.500;65.349.697.884.983.100;10.890.669.377.708.500;327.791.053.793.165;1;18;9;
780;7.260.085.223.962.210;5.676.988.522.347.900;11.049.120.329.831.700;22.850.612.759.234.300;7.260.085.223.962.210;14.395.855.295.305.300;4.499.606.747.281.600;1;19;14;
840;7.710.649.520.635.950;6.448.053.474.411.490;0.8008424213404444;27.678.229.563.044.700;7.710.649.520.635.950;19.257.586.746.944.000;55.824.896.308.450.800;1;20;15;
900;819.765.515.157.334;726.781.898.956.883;0.9781548776219205;32.354.527.155.179.100;819.765.515.157.334;24.016.191.887.623.000;56.389.445.305.387.300;1;22;16;
960;8.492.270.335.835.210;8.117.046.023.152.350;1.088.616.012.936.310;3.692.777.984.444.360;8.492.270.335.835.210;27.908.454.026.385.700;4.872.016.550.405.380;1;22;16;
1020;9.375.950.586.117.380;9.054.641.081.764.080;0.8915048885081811;43.094.312.831.931.500;9.375.950.586.117.380;31.375.443.757.570.300;42.693.441.308.419.400;1;24;11;
1080;9.589.724.418.986.190;10.013.613.523.662.700;11.781.082.782.215.600;48.442.847.449.320.100;9.589.724.418.986.190;3.408.972.328.441.650;3.774.576.977.245.630;1;26;11;
1140;10.350.509.087.141.900;110.486.644.323.769;11.605.709.830.445.900;5.461.530.099.750.140;10.350.509.087.141.900;3.577.575.915.174.570;27.305.497.520.693.800;1;28;10;
1200;10.965.650.155.569.200;12.145.229.447.933.800;0.8122359932134214;6.265.690.157.750.240;10.965.650.155.569.200;3.759.648.787.417.910;2.551.741.116.325.390;1;30;8;
1260;12.109.355.399.434.100;13.356.164.987.877.200;0.8101783443973843;7.184.961.493.710.600;12.109.355.399.434.100;39.158.044.120.147.800;2.290.716.755.926.380;1;31;7;
1320;12.432.880.165.448.400;1.459.945.300.442.200;10.165.649.891.173.900;8.062.286.114.173.180;12.432.880.165.448.400;4.052.349.204.925.310;22.803.564.193.109.700;1;32;7;
1380;12.127.997.639.442.400;15.812.252.768.366.300;11.756.596.651.114.000;8.851.848.398.677.320;12.127.997.639.442.400;41.614.093.915.618.100;2.148.695.564.965.240;1;31;7;
1440;13.107.337.935.026.400;17.122.986.561.868.900;0.952481695075285;9.819.688.781.952.870;13.107.337.935.026.400;43.564.268.324.543.600;28.074.079.344.932.500;1;37;7;
1500;14.353.296.546.108.600;1.855.831.621.647.980;0.8866397588522453;10.935.828.123.376.900;14.353.296.546.108.600;45.605.960.145.313.400;28.396.676.037.368.500;1;34;9;
