VE;;;;;;;;;;;
PARAMETERS;;;;;;;;;;;
window_size; threshold_L; threshold_H; p_t_ini; e_ini; size_ratio; subs_NOx; min_packages; max_packages;;;
60;80000;100000;100000;4000;4;9000;1;20;;;
ALL SIMULATION RESULTS;;;;;;;;;;;
total_steps(sec); minutes; avg_time_per_package (sec); p_t_total_all_steps; e_t_total_all_steps; p_t_control_zone_all_steps;  e_t_control_zone_all_steps; avg_k_all_steps; veh_enter_cz_all_steps; not_veh_enter_cz_all_steps; avg_total_time_all_steps;
11176;186.0;2172.480736714976;5440340876.754413;65736976.71318068;26895682.65034393;1401628.0019992867;0.33520915368663207;560;2547;2173.4267782426778;
WINDOWS;;;;;;;;;;;
step; NOx_total_w; NOx_total_acum; lambda; p_t_total; e_t_total; p_t_control_zone; e_t_control_zone; k_control_zone; num_veh_total; num_vehicles_control_zone;  
0;0;0;0.8;100000;0;100000;0;1;0;0;
60;457.5817688158486;457.5817688158486;0.8537456976449606;85265.15488478143;457.5817688158486;96316.28872119535;0;0.0;12;0;
120;3952.313507848202;4409.8952766640505;1.138973494774893;60262.10907288528;3952.313507848202;90065.52726822131;0;0.18418556394023253;29;0;
180;18240.404736137072;22650.300012801123;1.1055098475906455;38704.15929575911;18240.404736137072;84115.93863990551;0;0.4967236365889345;43;0;
240;32700.500291931075;55350.8003047322;0.9020276102957687;38931.66561704251;32700.500291931075;79997.69014724359;0;0.7942030680047246;62;0;
300;39130.02260328601;94480.8229080182;0.9981740348367764;42127.42296620457;39130.02260328601;75014.1238337126;0;1;80;0;
360;48939.10907606929;143419.9319840875;0.9797964259154952;55793.86070931603;48939.10907606929;70195.95600047315;0;1;100;0;
420;62281.167233157095;205701.0992172446;1.060637189089105;79892.08913526534;62281.167233157095;64650.2212986712;33.68360754752035;1;116;3;
480;72399.73194509995;278100.83116234455;1.1154893404542052;112134.2048240139;72399.73194509995;58610.81723458335;268.7117866256498;1;134;10;
540;75426.49102043967;353527.3221827842;0.837543834709694;157409.1177949046;75426.49102043967;55610.85642334631;4537.933701150204;1;145;25;
600;79891.33447975242;433418.6566625366;0.8113389906088025;208092.24861274014;79891.33447975242;65436.56586576719;17127.7603579001;1;159;48;
660;81354.08679883185;514772.7434613685;1.1343060415679478;248611.3179151259;81354.08679883185;90166.92548434692;34939.113992691266;1;177;57;
720;91682.44003338735;606455.1834947559;0.9731068271620213;305261.9121706805;91682.44003338735;120103.50467154669;38694.540631657954;0.49165372578265376;199;75;
780;109901.24810157595;716356.4315963319;1.1049120329831768;375386.32708486205;109901.24810157595;150690.6619316443;40531.365556946206;0;213;81;
840;106979.83221370423;823336.2638100361;0.8008424213404444;453535.8321303103;106979.83221370423;183526.7942096706;40043.71407009029;0;230;79;
900;117269.52383206348;940605.7876420997;0.9781548776219205;535591.7803679847;117269.52383206348;215449.92048465644;40726.52017358313;0;248;77;
960;120887.68506579757;1061493.4727078972;1.088616012936313;617289.288968075;120887.68506579757;246088.29666136872;40435.92029313909;0;266;71;
1020;135709.7820236304;1197203.2547315275;0.8915048885081811;720904.8950054109;135709.7820236304;265687.7952228328;27623.042558037716;0;284;63;
1080;149148.8476872926;1346352.1024188201;1.1781082782215688;827641.844676727;149148.8476872926;271107.3757757701;16022.555056931415;0;300;39;
1140;156979.65627119647;1503331.7586900166;1.1605709830445934;942840.945558318;156979.65627119647;264031.58738358406;3369.350455215322;0;314;30;
1200;169488.66989409097;1672820.4285841077;0.8122359932134214;1083089.1196967259;169488.66989409097;256754.7448104361;33.28136577280189;0;329;9;
1260;181143.1862489067;1853963.6148330143;0.8101783443973843;1235065.8855473266;181143.1862489067;249463.13971085963;0;0;351;0;
1320;198015.17895573194;2051978.7937887462;1.0165649891173987;1396484.7248948321;198015.17895573194;240314.05480880305;0;0;364;0;
1380;212306.93230525812;2264285.726094004;1.1756596651114042;1566467.9092560795;212306.93230525812;229733.1178228004;0;0;376;0;
1440;220218.56840803064;2484504.294502035;0.952481695075285;1752397.1366413997;220218.56840803064;221160.78256712283;0;0;386;0;
1500;233406.46666248288;2717910.7611645176;0.8866397588522453;1953884.5719852017;233406.46666248288;213181.02473745262;0;0;367;0;
1560;236088.7797124082;2953999.540876926;0.9688466302330869;2155094.873009219;236088.7797124082;204461.40506535483;0;0;373;0;
1620;234941.4708730315;3188941.011749957;0.8116163150299472;2360818.156541172;234941.4708730315;197156.85823008532;0;0;370;0;
1680;251050.51928006875;3439991.531030026;0.8886766665092141;2579876.3158269087;251050.51928006875;189158.76823150238;0;0;389;0;
1740;256653.3707338961;3696644.901763922;0.9751550374602288;2801424.1052122368;256653.3707338961;180382.37289436033;0;0;399;0;
1800;277852.16973126424;3974497.0714951865;0.9983248965527403;3043336.578667602;277852.16973126424;171397.44882538568;0;0;416;0;
1860;288868.31469333963;4263365.386188526;0.8932337801030291;3300048.477277233;288868.31469333963;163358.3448044584;0;0;432;0;
1920;295140.0419498772;4558505.428138403;0.8923466166163937;3563064.0410289196;295140.0419498772;155327.22525491085;0;0;447;0;
1980;311919.30532271444;4870424.733461117;0.8875124149350755;3843032.8994139717;311919.30532271444;147339.6135204952;0;0;461;0;
2040;306956.67702323745;5177381.410484355;0.9838413862950934;4114571.286530586;306956.67702323745;138485.04104383936;0;0;477;0;
