RRE
PARAMETERS,
window_size, threshold_L, threshold_H, p_t_ini, e_ini, size_ratio, subs_NOx, min_packages, max_packages,
60,80000,100000,100000,4000,4,9000,1,20,
ALL SIMULATION RESULTS,
total_steps(sec), minutes, avg_time_per_package (sec), p_t_total_all_steps, e_t_total_all_steps, p_t_control_zone_all_steps,  e_t_control_zone_all_steps, avg_k_all_steps, veh_enter_cz_all_steps, not_veh_enter_cz_all_steps, avg_total_time_all_steps
5671,95.0,1602.7182295021626,622359851.7842094,15045002.10483125,11692400.7660052,678161.5309619299,32.43040572162331,442,584,1607.4152046783627
WINDOWS,
step, NOx_total_w, NOx_total_acum, lambda, p_t_total, e_t_total, p_t_control_zone, e_t_control_zone, k_control_zone, num_veh_total, num_vehicles_control_zone,  
0,0,0,0.8,100000,0,100000,0,1,0,0,
60,454.59762078585607,454.59762078585607,0.8537456976449606,85265.15488478143,454.59762078585607,96316.28872119535,0,0.0,12,0,
120,3534.4199646280235,3989.0175854138797,1.138973494774893,60262.10907288528,3534.4199646280235,90065.52726822131,0,0.18418556394023253,29,0,
180,18091.844226691937,22080.861812105817,1.1055098475906455,38555.59878631398,18091.844226691937,84115.93863990551,0,0.4967236365889345,43,0,
240,33121.79637853597,55202.658190641785,0.9020276102957687,39204.40119420228,33121.79637853597,79997.69014724359,0,0.7942030680047246,62,0,
300,38251.2612524624,93453.91944310418,0.9981740348367764,41521.397192540724,38251.2612524624,75014.1238337126,0,1,79,0,
360,49133.31317840492,142587.23262150912,0.9797964259154952,55382.039037987815,49133.31317840492,70195.95600047315,0,1,100,0,
420,61868.66499210727,204455.89761361637,1.060637189089105,79067.76522288729,61868.66499210727,64650.2212986712,32.76943860438014,1,116,3,
480,72738.1505241563,277194.04813777265,1.1154893404542052,111648.29949069221,72738.1505241563,58610.81723458335,260.57333870291046,1,134,10,
540,75620.45801537608,352814.5061531487,0.837543834709694,157117.17945651928,75620.45801537608,55447.44637010645,4374.523647910348,1,145,25,
