1;2;3;4;5;6;7;8;9;10;11
RREP
PARAMETERS
window_size;threshold_L;threshold_H;p_t_ini;e_ini;size_ratio;subs_NOx;min_packages;max_packages
60;80000;100000;100000;4000;4;9000;1;20
ALL SIMULATION RESULTS
total_steps(sec);minutes;avg_time_per_package (sec);p_t_total_all_steps;e_t_total_all_steps;p_t_control_zone_all_steps;e_t_control_zone_all_steps;avg_k_all_steps;veh_enter_cz_all_steps;not_veh_enter_cz_all_steps;avg_total_time_all_steps
9610;160.0;2050.2330680339787;5884085629.297032;78641602.56379208;25475447.486403044;1118817.7429984706;0.2581024878562838;612;1839;2050.927376580987
WINDOWS
step;NOx_total_w;NOx_total_acum;lambda;p_t_total;e_t_total;p_t_control_zone;e_t_control_zone;k_control_zone;num_veh_total;num_vehicles_control_zone
60;12662.049450800805;12662.049450800805;0.8;100000;12662.049450800805;100000;0;0.0;18;0
60;12662.049450800805;25324.09890160161;0.8;100000;12662.049450800805;100000;0;0.0;18;0
120;20456.025420615097;45780.12432221671;0.8100043020890668;91295.87054540869;20456.025420615097;96709.9612811984;0;0.0;36;0
180;37885.071539541495;83665.1958617582;0.9100117273476477;96420.51990043488;37885.071539541495;92519.85573506956;0;0.16450193594008014;55;0
240;70529.62848658794;154194.82434834616;0.8892842952595291;134935.91375767978;70529.62848658794;88516.2970777338;0;0.37400721324652186;79;0
300;73092.229421685;227287.05377003114;1.094588485665605;168622.95769540302;73092.229421685;82665.00070674336;0;0.5741851461133097;98;0
360;91346.6512155303;318633.70498556143;1.0706797949691644;221425.13629204337;91346.6512155303;77028.88255202088;0;0.8667499646628319;121;0
420;107653.04944191116;426286.7544274726;1.1568718270819383;287430.79995900474;107653.04944191116;70617.03610828343;27.383676719012325;1;139;3
480;121744.34954698317;548031.1039744557;0.8347755330517665;379123.2303161243;121744.34954698317;69448.36887265333;6344.3125618358035;1;161;15
540;143495.04998799702;691526.1539624528;0.9687687278741082;487742.6061006534;143495.04998799702;80424.24041203753;19694.790090251176;1;179;37
600;151415.09296992223;842941.246932375;0.8119188877752281;609928.6191106674;151415.09296992223;114598.29751117104;41481.32708911057;0.9787879793981236;197;51
660;176722.57400566235;1019663.8209380374;0.8874551899214413;754702.8062791579;176722.57400566235;157408.80666398696;50797.60586210889;0;218;58
720;193994.22900964908;1213658.0499476865;1.002142115241345;912619.9191401186;193994.22900964908;200616.40950858936;52226.88188177453;0;245;60
780;210538.13330141947;1424196.183249106;0.8106143878735454;1093975.9344780904;210538.13330141947;247951.60411932596;54630.724101598484;0;259;64
840;224304.709573233;1648500.892822339;0.8795350602746594;1286617.3818814356;224304.709573233;294304.9792233046;54269.190646450596;0;279;63
