1;2;3;4;5;6;7;8;9;10;11
VEP
PARAMETERS
window_size;threshold_L;threshold_H;p_t_ini;e_ini;size_ratio;subs_NOx;min_packages;max_packages
60;80000;100000;100000;4000;4;9000;1;20
ALL SIMULATION RESULTS
total_steps(sec);minutes;avg_time_per_package (sec);p_t_total_all_steps;e_t_total_all_steps;p_t_control_zone_all_steps;e_t_control_zone_all_steps;avg_k_all_steps;veh_enter_cz_all_steps;not_veh_enter_cz_all_steps;avg_total_time_all_steps
16716;279.0;2196.482329393824;20740745333.273876;161018723.64344907;47520713.752970375;2280964.9468789618;0.19510816071177287;652;4303;2202.3517658930373
WINDOWS
step;NOx_total_w;NOx_total_acum;lambda;p_t_total;e_t_total;p_t_control_zone;e_t_control_zone;k_control_zone;num_veh_total;num_vehicles_control_zone
60;12662.049450800805;12662.049450800805;0.8;100000;12662.049450800805;100000;0;0.0;18;0
60;12662.049450800805;25324.09890160161;0.8;100000;12662.049450800805;100000;0;0.0;18;0
120;20456.025420615097;45780.12432221671;0.8100043020890668;91295.87054540869;20456.025420615097;96709.9612811984;0;0.0;36;0
180;37885.071539541495;83665.1958617582;0.9100117273476477;96420.51990043488;37885.071539541495;92519.85573506956;0;0.16450193594008014;55;0
240;70529.62848658794;154194.82434834616;0.8892842952595291;134935.91375767978;70529.62848658794;88516.2970777338;0;0.37400721324652186;79;0
300;73092.229421685;227287.05377003114;1.094588485665605;168622.95769540302;73092.229421685;82665.00070674336;0;0.5741851461133097;98;0
360;93170.42781822637;320457.4815882575;1.0706797949691644;223248.91289473948;93170.42781822637;77028.88255202088;0;0.8667499646628319;121;0
420;107835.728020191;428293.2096084485;1.1568718270819383;289437.2551399807;107835.728020191;70617.03610828343;27.383676719012325;1;139;3
480;122201.87915424957;550495.0887626981;0.8347755330517665;381587.21510436665;122201.87915424957;69357.91754994365;6253.861239126121;1;161;15
540;143287.07477606958;693782.1635387677;0.9687687278741082;489998.61567696836;143287.07477606958;80421.70311510301;19782.70411602633;1;179;37
600;151770.94440022245;845553.1079389902;0.8119188877752281;612540.4801172826;151770.94440022245;115501.66241350996;42387.22928838399;0.9789148442448495;197;51
660;175010.71790174503;1020563.8258407352;0.8874551899214413;755602.8111818557;175010.71790174503;156690.90587423634;49176.34017001934;0;218;54
720;194836.82352119737;1215400.6493619327;1.002142115241345;914362.5185543648;194836.82352119737;197946.021443018;50274.394605953734;0;245;54
780;213129.23129299114;1428529.8806549239;0.8106143878735454;1098309.6318839083;213129.23129299114;244820.15543908323;54169.66348692714;0;259;54
840;226372.17663201326;1654902.057286937;0.8795350602746594;1293018.5463460337;226372.17663201326;293244.58492705703;56340.24503044573;0;279;52
900;241416.34322299968;1896318.4005099367;1.0599537751118093;1496276.5536650082;241416.34322299968;333807.9115404639;50102.91058941317;0;300;49
960;255563.32857471137;2151881.729084648;1.0179765922412867;1715192.7249190332;255563.32857471137;363228.44592659455;38582.32371630221;0;322;40
1020;278598.6949757456;2430480.4240603936;0.8881762488162787;1961817.0749373927;278598.6949757456;368374.3210958487;13139.46140860068;0;341;24
1080;304609.3944219074;2735089.818482301;1.0357062735503635;2229141.043511487;304609.3944219074;363666.9020461316;4613.937412236184;0;362;8
1140;326065.36657527584;3061155.185057577;1.1237721826711307;2514750.6115106023;326065.36657527584;353552.9524020914;0;0;381;0
1200;342434.88351569;3403590.068573267;0.8025995038712245;2828291.9128869283;342434.88351569;346329.5568672504;0;0;398;0
1260;361425.7310033567;3765015.799576624;1.1223277007331232;3149313.8466638923;361425.7310033567;336228.6075606523;0;0;421;0
1320;377279.11208119075;4142294.9116578144;1.0792557579952908;3487739.7514572525;377279.11208119075;326515.3057386947;0;0;438;0
1380;385944.2958324145;4528239.207490229;0.9361002066071967;3839984.439851808;385944.2958324145;318090.4038792299;0;0;443;0
1440;389583.4458601676;4917822.653350397;0.8621917999247126;4198528.980914686;389583.4458601676;310330.6776799075;0;0;443;0
1500;398416.60863046214;5316239.26198086;1.1828852288827125;4554361.72130537;398416.60863046214;299684.71061996307;0;0;446;0
1560;409554.4584773194;5725793.720458179;0.9346378180450508;4930269.218333067;409554.4584773194;291272.9702575576;0;0;461;0
1620;432827.98653600895;6158621.706994188;0.8370983373520592;5332961.664724402;432827.98653600895;283739.0852213891;0;0;479;0
1680;466439.2904817606;6625060.997475948;0.8386865507333856;5769208.239379761;466439.2904817606;276190.9062647886;0;0;504;0
1740;481832.54599675356;7106893.543472702;1.1389977465389838;6210036.866501111;481832.54599675356;265939.9265459377;0;0;515;0
1800;507565.9403276768;7614459.483800379;1.0414904125467563;6680109.151977104;507565.9403276768;256566.51283301692;0;0;532;0
1860;530618.5607816492;8145078.044582028;1.122851309309752;7170305.065623603;530618.5607816492;246460.85104922915;0;0;551;0
1920;526301.0009482164;8671379.045530245;1.091892714677527;7657297.928843428;526301.0009482164;236633.8166171314;0;0;570;0
1980;558409.7455788769;9229788.791109122;1.0144912365818803;8179185.989905357;558409.7455788769;227503.39548789448;0;0;590;0
2040;597434.565202351;9827223.356311474;1.1892463055917482;8733807.688106406;597434.565202351;216800.17873756876;0;0;610;0
2100;601144.0351076345;10428367.391419109;0.9514137508833413;9300700.828182241;601144.0351076345;208237.4549796187;0;0;629;0
2160;613201.639866053;11041569.031285161;1.0208162525092908;9877153.082957959;613201.639866053;199050.10870703508;0;0;650;0
2220;636366.041587428;11677935.072872588;1.1317618657011979;10472775.697380142;636366.041587428;188864.2519157243;0;0;661;0
2280;649100.863456748;12327035.936329337;1.0474079009456985;11084169.876402846;649100.863456748;179437.58080721303;0;0;683;0
2340;663918.4902499338;12990954.42657927;1.1446827601243108;11706879.787288304;663918.4902499338;169135.43596609423;0;0;700;0
2400;683352.1498012494;13674306.57638052;1.0309408581027049;12353118.066197855;683352.1498012494;159856.9682431699;0;0;701;0
2460;671003.0890596516;14345309.66544017;1.0818287344859694;12985175.320816012;671003.0890596516;150120.50963279617;0;0;712;0
2520;678362.7981598449;15023672.463600015;0.8183297534622649;13634078.247851215;678362.7981598449;142755.5418516358;0;0;704;0
2580;675741.0007959125;15699413.464395927;0.8911593102606188;14277737.513477745;675741.0007959125;134735.1080592902;0;0;709;0
2640;671336.7455759008;16370750.209971828;0.9157551854408429;14916107.072377775;671336.7455759008;126493.31139032263;0;0;711;0
2700;648501.6758784568;17019251.885850284;0.831916790769451;15534659.743788533;648501.6758784568;119006.06027339757;0;0;717;0
2760;645426.0846516786;17664677.970501963;0.8931163545444121;16147933.639676614;645426.0846516786;110968.01308249786;0;0;702;0
2820;618269.1127711161;18282947.08327308;0.8404005717638917;16735948.33186423;618269.1127711161;103404.40793662283;0;0;697;0
2880;609209.9374552042;18892157.020728283;0.9111894412440369;17312355.44943465;609209.9374552042;95203.70296542649;0;0;706;0
2940;638040.6585762604;19530197.679304544;1.05427377770576;17912442.252013505;638040.6585762604;85730.60679512711;15.367829052457441;0.23981485172867542;711;2
