vType;em_means
eVehicle-1;0.0
eVehicle-2;0.0
eVehicle-3;0.0
eVehicle-4;0.0
eVehicle-5;0.0
eVehicle-6;0.0
eVehicle-7;0.0
eVehicle-8;0.0
eVehicle-9;0.0
eVehicle-10;0.0
eVehicle-11;0.0
eVehicle-12;0.0
eVehicle-13;0.0
eVehicle-14;0.0
eVehicle-15;0.0
eVehicle-16;0.0
eVehicle-17;0.0
eVehicle-18;0.0
eVehicle-19;0.0
eVehicle-20;0.0
gasolineEuroSix-20;0.0031272828786389033
gasolineEuroSix-19;0.0062545657572778066
gasolineEuroSix-18;0.00938184863591671
gasolineEuroSix-17;0.012509131514555613
gasolineEuroSix-16;0.015636414393194516
gasolineEuroSix-15;0.01876369727183342
gasolineEuroSix-14;0.021890980150472323
highEmissions-20;0.02413759545179555
highEmissions-19;0.026384210753118777
gasolineEuroSix-13;0.02951149363175768
highEmissions-18;0.03175810893308091
gasolineEuroSix-12;0.03488539181171982
normalVehicle-20;0.04013912061250571
highEmissions-17;0.042385735913828944
normalVehicle-19;0.04763946471461484
highEmissions-16;0.04988608001593807
gasolineEuroSix-11;0.053013362894576976
normalVehicle-18;0.05826709169536287
highEmissions-15;0.0605137069966861
normalVehicle-17;0.065767435797472
gasolineEuroSix-10;0.06889471867611091
highEmissions-14;0.07114133397743413
normalVehicle-16;0.07639506277822003
highEmissions-13;0.07864167807954325
gasolineEuroSix-9;0.08176896095818216
normalVehicle-15;0.08702268975896806
highEmissions-12;0.08926930506029128
normalVehicle-14;0.09452303386107717
gasolineEuroSix-8;0.09765031673971608
normalVehicle-13;0.10290404554050198
highEmissions-11;0.1051506608418252
normalVehicle-12;0.1104043896426111
gasolineEuroSix-7;0.11353167252125
highEmissions-10;0.11577828782257323
normalVehicle-11;0.12103201662335912
highEmissions-9;0.12327863192468234
gasolineEuroSix-6;0.12640591480332125
normalVehicle-10;0.13165964360410715
highEmissions-8;0.13390625890543037
normalVehicle-9;0.13915998770621626
gasolineEuroSix-5;0.14228727058485516
highEmissions-7;0.14453388588617838
normalVehicle-8;0.14978761468696428
highEmissions-6;0.1520342299882875
normalVehicle-7;0.1572879587890734
gasolineEuroSix-4;0.1604152416677123
hovDieselEuroSix-20;0.17687721911244447
hovDieselEuroSix-19;0.19333919655717666
normalVehicle-6;0.19859292535796255
highEmissions-5;0.20083954065928578
hovDieselEuroSix-18;0.21730151810401796
hovDieselEuroSix-17;0.23376349554875014
hovDieselEuroSix-16;0.25022547299348236
gasolineEuroSix-3;0.25335275587212125
normalVehicle-5;0.25860648467290714
hovDieselEuroSix-15;0.27506846211763936
highEmissions-4;0.2773150774189626
dieselEuroSix-20;0.30022547299348235
hovDieselEuroSix-14;0.31668745043821456
dieselEuroSix-19;0.33959784601273435
hovDieselEuroSix-13;0.35605982345746656
dieselEuroSix-18;0.37897021903198636
normalVehicle-4;0.38422394783277225
dieselEuroSix-17;0.40713434340729204
hovDieselEuroSix-12;0.42359632085202426
dieselEuroSix-16;0.44650671642654405
hovDieselEuroSix-11;0.46296869387127626
highEmissions-3;0.4652153091725995
dieselEuroSix-15;0.48812570474711925
gasolineEuroSix-2;0.49125298762575814
dieselEuroSix-14;0.5141633832002779
hovDieselEuroSix-10;0.5306253606450101
normalVehicle-3;0.535879089445796
dieselEuroSix-13;0.5587894850203158
hovDieselEuroSix-9;0.575251462465048
dieselEuroSix-12;0.5981618580395678
hovDieselEuroSix-8;0.6146238354843
dieselEuroSix-11;0.6375342310588198
highEmissions-2;0.639780846360143
dieselEuroSix-10;0.6626912419346628
hovDieselEuroSix-7;0.679153219379395
dieselEuroSix-9;0.7020636149539148
normalVehicle-2;0.7073173437547007
hovDieselEuroSix-6;0.7237793211994329
dieselEuroSix-8;0.7466897167739527
gasolineEuroSix-1;0.7498169996525916
dieselEuroSix-7;0.7727273952271114
hovDieselEuroSix-5;0.7891893726718436
dieselEuroSix-6;0.8120997682463634
hovDieselEuroSix-4;0.8285617456910956
highEmissions-1;0.8308083609924188
dieselEuroSix-5;0.8537187565669386
normalVehicle-1;0.8589724853677245
hovDieselEuroSix-3;0.8754344628124567
dieselEuroSix-4;0.8983448583869765
dieselEuroSix-3;0.9212552539614963
hovDieselEuroSix-2;0.9377172314062285
dieselEuroSix-2;0.9606276269807483
hovDieselEuroSix-1;0.9770896044254805
dieselEuroSix-1;1.0000000000000002
