vType;em_means
eVehicle-1;0.0
eVehicle-2;0.0
eVehicle-3;0.0
eVehicle-4;0.0
eVehicle-5;0.0
eVehicle-6;0.0
eVehicle-7;0.0
eVehicle-8;0.0
eVehicle-9;0.0
eVehicle-10;0.0
eVehicle-11;0.0
eVehicle-12;0.0
eVehicle-13;0.0
eVehicle-14;0.0
eVehicle-15;0.0
eVehicle-16;0.0
eVehicle-17;0.0
eVehicle-18;0.0
eVehicle-19;0.0
eVehicle-20;0.0
gasolineEuroSix-20;0.0002910377202247962
gasolineEuroSix-19;0.0005820754404495924
gasolineEuroSix-18;0.0008731131606743886
gasolineEuroSix-17;0.0011641508808991848
gasolineEuroSix-16;0.001455188601123981
gasolineEuroSix-15;0.001746226321348777
highEmissions-20;0.002155274444813713
gasolineEuroSix-14;0.0024463121650385093
highEmissions-19;0.0028553602885034455
gasolineEuroSix-13;0.0031463980087282416
highEmissions-18;0.0035554461321931777
highEmissions-17;0.003964494255658114
gasolineEuroSix-12;0.004255531975882911
normalVehicle-20;0.0047428609884589135
highEmissions-16;0.00515190911192385
normalVehicle-19;0.005639238124499853
gasolineEuroSix-11;0.005930275844724649
normalVehicle-18;0.006417604857300652
highEmissions-15;0.006826652980765588
normalVehicle-17;0.007313981993341591
gasolineEuroSix-10;0.007605019713566388
highEmissions-14;0.008014067837031324
normalVehicle-16;0.008501396849607327
highEmissions-13;0.008910444973072263
gasolineEuroSix-9;0.009201482693297059
normalVehicle-15;0.009688811705873062
highEmissions-12;0.010097859829337998
normalVehicle-14;0.010585188841914001
gasolineEuroSix-8;0.010876226562138797
highEmissions-11;0.011285274685603733
normalVehicle-13;0.011772603698179736
normalVehicle-12;0.012259932710755738
highEmissions-10;0.012668980834220675
gasolineEuroSix-7;0.01296001855444547
normalVehicle-11;0.013447347567021473
highEmissions-9;0.01385639569048641
gasolineEuroSix-6;0.014147433410711206
normalVehicle-10;0.014634762423287208
highEmissions-8;0.015043810546752145
normalVehicle-9;0.015531139559328147
gasolineEuroSix-5;0.015822177279552943
highEmissions-7;0.016231225403017878
normalVehicle-8;0.016718554415593882
highEmissions-6;0.017127602539058817
normalVehicle-7;0.01761493155163482
gasolineEuroSix-4;0.01790596927185962
hovDieselEuroSix-20;0.01941682304331504
hovDieselEuroSix-19;0.02092767681477046
normalVehicle-6;0.021415005827346463
highEmissions-5;0.021824053950811398
hovDieselEuroSix-18;0.023334907722266818
hovDieselEuroSix-17;0.024845761493722238
hovDieselEuroSix-16;0.026356615265177658
gasolineEuroSix-3;0.026647652985402455
normalVehicle-5;0.02713498199797846
hovDieselEuroSix-15;0.02864583576943388
highEmissions-4;0.029054883892898814
hovDieselEuroSix-14;0.030565737664354234
dieselEuroSix-20;0.03273035177496294
dieselEuroSix-19;0.034894965885571644
hovDieselEuroSix-13;0.036405819657027064
dieselEuroSix-18;0.03857043376763577
normalVehicle-4;0.03905776278021177
hovDieselEuroSix-12;0.04056861655166719
dieselEuroSix-17;0.0427332306622759
dieselEuroSix-16;0.0448978447728846
highEmissions-3;0.04530689289634954
hovDieselEuroSix-11;0.04681774666780496
dieselEuroSix-15;0.04898236077841366
gasolineEuroSix-2;0.04927339849863846
hovDieselEuroSix-10;0.05078425227009388
dieselEuroSix-14;0.052948866380702585
normalVehicle-3;0.05343619539327859
dieselEuroSix-13;0.055600809503887294
hovDieselEuroSix-9;0.057111663275342714
dieselEuroSix-12;0.05927627738595142
hovDieselEuroSix-8;0.06078713115740684
dieselEuroSix-11;0.06295174526801554
highEmissions-2;0.06336079339148049
hovDieselEuroSix-7;0.0648716471629359
dieselEuroSix-10;0.06703626127354462
dieselEuroSix-9;0.06920087538415333
normalVehicle-2;0.06968820439672933
hovDieselEuroSix-6;0.07119905816818475
dieselEuroSix-8;0.07336367227879347
gasolineEuroSix-1;0.07365470999901826
hovDieselEuroSix-5;0.07516556377047368
dieselEuroSix-7;0.07733017788108239
dieselEuroSix-6;0.0794947919916911
hovDieselEuroSix-4;0.08100564576314652
highEmissions-1;0.08141469388661146
dieselEuroSix-5;0.08357930799722017
normalVehicle-1;0.08406663700979618
hovDieselEuroSix-3;0.0855774907812516
dieselEuroSix-4;0.08774210489186031
dieselEuroSix-3;0.08990671900246902
hovDieselEuroSix-2;0.09141757277392444
dieselEuroSix-2;0.09358218688453315
hovDieselEuroSix-1;0.09509304065598857
dieselEuroSix-1;0.09725765476659728
truck-20;0.1423947720282674
truck-19;0.1875318892899375
truck-18;0.2326690065516076
truck-17;0.27780612381327774
truck-16;0.3229432410749479
truck-15;0.368080358336618
truck-14;0.41321747559828814
truck-13;0.4583545928599583
truck-12;0.5034917101216284
truck-11;0.5486288273832985
truck-10;0.5937659446449687
truck-9;0.6389030619066388
truck-8;0.684040179168309
truck-7;0.7291772964299791
truck-6;0.7743144136916492
truck-5;0.8194515309533194
truck-4;0.8645886482149895
truck-3;0.9097257654766596
truck-2;0.9548628827383298
truck-1;0.9999999999999999
