vType;em_means
eVehicle-1;0.0
eVehicle-2;0.0
eVehicle-3;0.0
eVehicle-4;0.0
eVehicle-5;0.0
eVehicle-6;0.0
eVehicle-7;0.0
eVehicle-8;0.0
eVehicle-9;0.0
eVehicle-10;0.0
eVehicle-11;0.0
eVehicle-12;0.0
eVehicle-13;0.0
eVehicle-14;0.0
eVehicle-15;0.0
eVehicle-16;0.0
eVehicle-17;0.0
eVehicle-18;0.0
eVehicle-19;0.0
eVehicle-20;0.0
gasolineEuroSix-20;0.000535571917208642
gasolineEuroSix-19;0.001071143834417284
gasolineEuroSix-18;0.001606715751625926
gasolineEuroSix-17;0.002142287668834568
gasolineEuroSix-16;0.00267785958604321
gasolineEuroSix-15;0.0032134315032518517
gasolineEuroSix-14;0.0037490034204604936
highEmissions-20;0.004133011335944476
highEmissions-19;0.0045170192514284585
gasolineEuroSix-13;0.0050525911686371
highEmissions-18;0.005436599084121083
gasolineEuroSix-12;0.005972171001329725
highEmissions-17;0.006356178916813707
normalVehicle-20;0.007262483838129141
normalVehicle-19;0.008168788759444575
highEmissions-16;0.008552796674928557
gasolineEuroSix-11;0.0090883685921372
normalVehicle-18;0.009994673513452634
highEmissions-15;0.010378681428936616
normalVehicle-17;0.01128498635025205
gasolineEuroSix-10;0.011820558267460693
highEmissions-14;0.012204566182944675
normalVehicle-16;0.013110871104260109
highEmissions-13;0.013494879019744091
gasolineEuroSix-9;0.014030450936952734
normalVehicle-15;0.014936755858268168
highEmissions-12;0.01532076377375215
normalVehicle-14;0.016227068695067584
gasolineEuroSix-8;0.016762640612276225
normalVehicle-13;0.01766894553359166
highEmissions-11;0.01805295344907564
normalVehicle-12;0.018959258370391075
gasolineEuroSix-7;0.019494830287599716
highEmissions-10;0.0198788382030837
normalVehicle-11;0.020785143124399132
highEmissions-9;0.021169151039883115
gasolineEuroSix-6;0.021704722957091756
normalVehicle-10;0.02261102787840719
highEmissions-8;0.022995035793891172
normalVehicle-9;0.023901340715206606
gasolineEuroSix-5;0.024436912632415247
highEmissions-7;0.02482092054789923
normalVehicle-8;0.025727225469214663
highEmissions-6;0.026111233384698646
normalVehicle-7;0.02701753830601408
gasolineEuroSix-4;0.02755311022322272
hovDieselEuroSix-20;0.030334502441173708
hovDieselEuroSix-19;0.0331158946591247
normalVehicle-6;0.03402219958044013
highEmissions-5;0.034406207495924115
hovDieselEuroSix-18;0.03718759971387511
hovDieselEuroSix-17;0.0399689919318261
hovDieselEuroSix-16;0.04275038414977709
gasolineEuroSix-3;0.04328595606698573
normalVehicle-5;0.04419226098830116
hovDieselEuroSix-15;0.04697365320625215
highEmissions-4;0.04735766112173613
dieselEuroSix-20;0.0513032734973629
hovDieselEuroSix-14;0.05408466571531389
dieselEuroSix-19;0.058030278090940655
hovDieselEuroSix-13;0.06081167030889165
dieselEuroSix-18;0.06475728268451841
normalVehicle-4;0.06566358760583385
hovDieselEuroSix-12;0.06844497982378484
dieselEuroSix-17;0.0723905921994116
dieselEuroSix-16;0.07633620457503837
hovDieselEuroSix-11;0.07911759679298935
highEmissions-3;0.07950160470847334
dieselEuroSix-15;0.0834472170841001
gasolineEuroSix-2;0.08398278900130875
hovDieselEuroSix-10;0.08676418121925973
dieselEuroSix-14;0.0907097935948865
normalVehicle-3;0.09161609851620194
dieselEuroSix-13;0.0955617108918287
hovDieselEuroSix-9;0.09834310310977969
dieselEuroSix-12;0.10228871548540645
hovDieselEuroSix-8;0.10507010770335744
dieselEuroSix-11;0.1090157200789842
highEmissions-2;0.10939972799446819
dieselEuroSix-10;0.11334534037009496
hovDieselEuroSix-7;0.11612673258804594
dieselEuroSix-9;0.12007234496367271
normalVehicle-2;0.12097864988498815
hovDieselEuroSix-6;0.12376004210293913
dieselEuroSix-8;0.1277056544785659
gasolineEuroSix-1;0.12824122639577457
hovDieselEuroSix-5;0.13102261861372555
dieselEuroSix-7;0.13496823098935232
dieselEuroSix-6;0.13891384336497908
hovDieselEuroSix-4;0.14169523558293007
highEmissions-1;0.14207924349841405
dieselEuroSix-5;0.14602485587404082
normalVehicle-1;0.14693116079535626
hovDieselEuroSix-3;0.14971255301330724
dieselEuroSix-4;0.153658165388934
dieselEuroSix-3;0.15760377776456078
hovDieselEuroSix-2;0.16038516998251176
dieselEuroSix-2;0.16433078235813853
hovDieselEuroSix-1;0.1671121745760895
dieselEuroSix-1;0.17105778695171628
truck-20;0.21250489760413044
truck-19;0.2539520082565446
truck-18;0.2953991189089588
truck-17;0.336846229561373
truck-16;0.3782933402137872
truck-15;0.4197404508662014
truck-14;0.46118756151861556
truck-13;0.5026346721710298
truck-12;0.5440817828234439
truck-11;0.585528893475858
truck-10;0.6269760041282721
truck-9;0.6684231147806863
truck-8;0.7098702254331004
truck-7;0.7513173360855145
truck-6;0.7927644467379287
truck-5;0.8342115573903428
truck-4;0.8756586680427569
truck-3;0.9171057786951711
truck-2;0.9585528893475852
truck-1;0.9999999999999993
