RRE
ALL SIMULATION RESULTS,
total_steps(sec), minutes, avg_time_per_package (sec), p_t_total_all_steps, e_t_total_all_steps, veh_enter_cz_all_steps
1543,26.0,1286.6168224299065,302038.27444111346,6481.316910318911,1058691.554973894,2122.4646159341833,23.47511226853389,10,1260.0
PARAMETERS,
window_size, threshold_L, threshold_H, p_t_ini, e_ini, size_ratio, subs_NOx, min_packages, max_packages,
60,80000,100000,100000,4000,4,9000,1,20,
WINDOWS,
step, NOx_total_w, NOx_total_acum, lambda, p_t_total, e_t_total, p_t_control_zone, e_t_control_zone, k_control_zone, num_veh_total, num_vehicles_control_zone,  
0,0,0,0.8,100000,0,100000,0,1,0,0,
60,76.62595261811437,76.62595261811437,0.8537456976449606,85265.15488478143,76.62595261811437,96316.28872119535,0,0.0,3,0,
120,234.55931746598006,311.18527008409444,1.138973494774893,60262.10907288528,234.55931746598006,90065.52726822131,0,0.18418556394023253,9,0,
180,299.3241516782578,610.5094217623523,1.1055098475906455,36463.75455962204,299.3241516782578,84115.93863990551,0,0.4967236365889345,10,0,
240,303.1574730484798,913.6668948108321,0.9020276102957687,19990.760588974365,303.1574730484798,79997.69014724359,0,0.7942030680047246,10,0,
300,288.45196014065573,1202.1188549514877,0.9981740348367764,56.4953348504132,288.45196014065573,75014.1238337126,0,1,10,0,
360,298.8756481294009,1500.9945030808885,0.9797964259154952,0,298.8756481294009,70195.95600047315,0,1,10,0,
420,288.1011692477868,1789.0956723286754,1.060637189089105,0,288.1011692477868,64650.2212986712,0.0,1,10,1,
480,312.9376656918545,2102.0333380205298,1.1154893404542052,0,312.9376656918545,58610.81723458335,102.16479683929191,1,10,6,
540,295.9075377555678,2397.9408757760975,0.837543834709694,0,295.9075377555678,55072.922722196105,217.2158469580987,1,10,7,
600,315.69608312664565,2713.636958902743,0.8113389906088025,0,315.69608312664565,51770.87180671688,277.96044485631234,1,10,10,
660,296.8130265525483,3010.4499854552914,1.1343060415679478,0,296.8130265525483,45562.11743260535,296.8130265525483,1,10,10,
720,313.5801068348331,3324.0300922901247,0.9731068271620213,0,313.5801068348331,40804.15598814716,313.5801068348331,1,10,10,
780,310.86933273057645,3634.899425020701,1.1049120329831768,0,310.86933273057645,34859.94769129857,310.86933273057645,1,10,10,
840,314.96919105949553,3949.8686160801967,0.8008424213404444,0,314.96919105949553,31652.36589923457,272.0544052907678,1,10,9,
900,312.44587594413827,4262.314492024335,0.9781548776219205,0,312.44587594413827,26848.972000637288,149.68730367636934,1,10,7,
960,335.3567779792749,4597.67127000361,1.088616012936313,0,335.3567779792749,21051.427884210472,90.89268609167833,1,10,4,
1020,326.1221901451242,4923.793460148734,0.8915048885081811,0,326.1221901451242,17027.883887636843,64.67859583611165,1,10,3,
1080,331.4038148224241,5255.197274971159,1.1781082782215688,0,331.4038148224241,10424.909383642724,26.548070267595556,1,10,2,
1140,327.6413701117609,5582.838645082919,1.1605709830445934,0,327.6413701117609,3979.7705362413835,0,1,9,0,
1200,303.09694320302646,5885.935588285945,0.8122359932134214,0,303.09694320302646,669.6465973205904,0,1,8,0,
1260,232.12769986757644,6118.063288153522,0.8101783443973843,0,232.12769986757644,0,0,1,7,0,
1320,168.84011743473664,6286.9034055882585,1.0165649891173987,0,168.84011743473664,0,0,1,4,0,
1380,81.86268521640469,6368.766090804663,1.1756596651114042,0,81.86268521640469,0,0,1,3,0,
1440,74.63214561074992,6443.398236415413,0.952481695075285,0,74.63214561074992,0,0,1,3,0,
1500,37.91867390349888,6481.316910318911,0.8866397588522453,0,37.91867390349888,0,0,1,2,0,
VEHICLES,
id, vType, NOx_total_veh, n_packages, step_ini, step_fin, total_time(sec),average_package,enter_cz,
veh1,eVehicle,0.0,5,11,1139,1128,225.6,True,
veh2,normalVehicle,886.507251957916,19,21,1296,1275,67.10526315789474,True,
veh3,normalVehicle,838.0895070961052,3,31,1213,1182,394.0,True,
veh4,normalVehicle,888.373671902953,9,81,1187,1106,122.88888888888889,True,
veh5,normalVehicle,985.2510687923813,4,86,1298,1212,303.0,True,
veh7,normalVehicle,1046.5550880782466,15,91,1300,1209,80.6,True,
veh6,eVehicle,0.0,16,91,1543,1452,90.75,True,
veh8,normalVehicle,904.7812670850931,16,94,1448,1354,84.625,True,
veh9,eVehicle,0.0,13,101,1376,1275,98.07692307692308,True,
veh10,normalVehicle,947.1070236518061,7,121,1528,1407,201.0,True,
