VE;;;;;;;;;;;
ALL SIMULATION RESULTS;;;;;;;;;;;
total_steps(sec); minutes; avg_time_per_package (sec); p_t_total_all_steps; e_t_total_all_steps; veh_enter_cz_all_steps;;;;;;
1543;26;12.866.168.224.299.000;30.203.827.444.111.300;6.481.316.910.318.910;1.058.691.554.973.890;21.224.646.159.341.800;2.347.511.226.853.380;10;1260;;
PARAMETERS;;;;;;;;;;;
window_size; threshold_L; threshold_H; p_t_ini; e_ini; size_ratio; subs_NOx; min_packages; max_packages;;;
60;80000;100000;100000;4000;4;9000;1;20;;;
WINDOWS;;;;;;;;;;;
step; NOx_total_w; NOx_total_acum; lambda; p_t_total; e_t_total; p_t_control_zone; e_t_control_zone; k_control_zone; num_veh_total; num_vehicles_control_zone;  
0;0;0;0.8;100000;0;100000;0;1;0;0;
60;7.662.595.261.811.430;7.662.595.261.811.430;0.853745698;8.526.515.488.478.140;7.662.595.261.811.430;9.631.628.872.119.530;0;0;3;0;
120;23.455.931.746.598.000;31.118.527.008.409.400;1.138.973.494.774.890;6.026.210.907.288.520;23.455.931.746.598.000;9.006.552.726.822.130;0;0.184185564;9;0;
180;2.993.241.516.782.570;6.105.094.217.623.520;11.055.098.475.906.400;3.646.375.455.962.200;2.993.241.516.782.570;8.411.593.863.990.550;0;0.496723637;10;0;
240;3.031.574.730.484.790;9.136.668.948.108.320;0.90202761;19.990.760.588.974.300;3.031.574.730.484.790;7.999.769.014.724.350;0;0.794203068;10;0;
300;28.845.196.014.065.500;12.021.188.549.514.800;0.998174035;564.953.348.504.132;28.845.196.014.065.500;750.141.238.337.126;0;1;10;0;
360;2.988.756.481.294.000;15.009.945.030.808.800;0.979796426;0;2.988.756.481.294.000;7.019.595.600.047.310;0;1;10;0;
420;2.881.011.692.477.860;17.890.956.723.286.700;1.060.637.189.089.100;0;2.881.011.692.477.860;646.502.212.986.712;0;1;10;1;
480;3.129.376.656.918.540;21.020.333.380.205.200;11.154.893.404.542.000;0;3.129.376.656.918.540;5.861.081.723.458.330;10.216.479.683.929.100;1;10;6;
540;2.959.075.377.555.670;23.979.408.757.760.900;0.837543835;0;2.959.075.377.555.670;55.072.922.722.196.100;2.172.158.469.580.980;1;10;7;
600;31.569.608.312.664.500;2.713.636.958.902.740;0.811338991;0;31.569.608.312.664.500;5.177.087.180.671.680;27.796.044.485.631.200;1;10;10;
660;2.968.130.265.525.480;30.104.499.854.552.900;11.343.060.415.679.400;0;2.968.130.265.525.480;4.556.211.743.260.530;2.968.130.265.525.480;1;10;10;
720;3.135.801.068.348.330;33.240.300.922.901.200;0.973106827;0;3.135.801.068.348.330;4.080.415.598.814.710;3.135.801.068.348.330;1;10;10;
780;31.086.933.273.057.600;3.634.899.425.020.700;11.049.120.329.831.700;0;31.086.933.273.057.600;3.485.994.769.129.850;31.086.933.273.057.600;1;10;10;
840;31.496.919.105.949.500;39.498.686.160.801.900;0.800842421;0;31.496.919.105.949.500;3.165.236.589.923.450;2.720.544.052.907.670;1;10;9;
900;31.244.587.594.413.800;4.262.314.492.024.330;0.978154878;0;31.244.587.594.413.800;26.848.972.000.637.200;14.968.730.367.636.900;1;10;7;
960;3.353.567.779.792.740;459.767.127.000.361;1.088.616.012.936.310;0;3.353.567.779.792.740;21.051.427.884.210.400;9.089.268.609.167.830;1;10;4;
1020;3.261.221.901.451.240;4.923.793.460.148.730;0.891504889;0;3.261.221.901.451.240;17.027.883.887.636.800;6.467.859.583.611.160;1;10;3;
1080;3.314.038.148.224.240;5.255.197.274.971.150;11.781.082.782.215.600;0;3.314.038.148.224.240;10.424.909.383.642.700;26.548.070.267.595.500;1;10;2;
1140;3.276.413.701.117.600;5.582.838.645.082.910;11.605.709.830.445.900;0;3.276.413.701.117.600;39.797.705.362.413.800;0;1;9;0;
1200;30.309.694.320.302.600;5.885.935.588.285.940;0.812235993;0;30.309.694.320.302.600;6.696.465.973.205.900;0;1;8;0;
1260;23.212.769.986.757.600;6.118.063.288.153.520;0.810178344;0;23.212.769.986.757.600;0;0;1;7;0;
1320;16.884.011.743.473.600;62.869.034.055.882.500;10.165.649.891.173.900;0;16.884.011.743.473.600;0;0;1;4;0;
1380;8.186.268.521.640.460;6.368.766.090.804.660;11.756.596.651.114.000;0;8.186.268.521.640.460;0;0;1;3;0;
1440;7.463.214.561.074.990;6.443.398.236.415.410;0.952481695;0;7.463.214.561.074.990;0;0;1;3;0;
1500;3.791.867.390.349.880;6.481.316.910.318.910;0.886639759;0;3.791.867.390.349.880;0;0;1;2;0;
VEHICLES;;;;;;;;;;;
id; vType; NOx_total_veh; n_packages; step_ini; step_fin; total_time(sec);average_package;enter_cz;;;
veh1;eVehicle;0;5;11;1139;1128;225.6;TRUE;;;
veh2;normalVehicle;886.507.251.957.916;19;21;1296;1275;6.710.526.315.789.470;TRUE;;;
veh3;normalVehicle;8.380.895.070.961.050;3;31;1213;1182;394;TRUE;;;
veh4;normalVehicle;888.373.671.902.953;9;81;1187;1106;12.288.888.888.888.800;TRUE;;;
veh5;normalVehicle;9.852.510.687.923.810;4;86;1298;1212;303;TRUE;;;
veh7;normalVehicle;10.465.550.880.782.400;15;91;1300;1209;80.6;TRUE;;;
veh6;eVehicle;0;16;91;1543;1452;90.75;TRUE;;;
veh8;normalVehicle;9.047.812.670.850.930;16;94;1448;1354;84.625;TRUE;;;
veh9;eVehicle;0;13;101;1376;1275;9.807.692.307.692.300;TRUE;;;
veh10;normalVehicle;9.471.070.236.518.060;7;121;1528;1407;201;TRUE;;;
