vType;em_means
eVehicle-1;0.0
eVehicle-2;0.0
eVehicle-3;0.0
eVehicle-4;0.0
eVehicle-5;0.0
eVehicle-6;0.0
eVehicle-7;0.0
eVehicle-8;0.0
eVehicle-9;0.0
eVehicle-10;0.0
eVehicle-11;0.0
eVehicle-12;0.0
eVehicle-13;0.0
eVehicle-14;0.0
eVehicle-15;0.0
eVehicle-16;0.0
eVehicle-17;0.0
eVehicle-18;0.0
eVehicle-19;0.0
eVehicle-20;0.0
gasolineEuroSix-20;0.0002864136097277107
gasolineEuroSix-19;0.0005728272194554214
gasolineEuroSix-18;0.0008592408291831321
gasolineEuroSix-17;0.0011456544389108429
gasolineEuroSix-16;0.0014320680486385536
gasolineEuroSix-15;0.0017184816583662643
gasolineEuroSix-14;0.002004895268093975
highEmissions-20;0.0024167682290367823
highEmissions-19;0.0028286411899795896
gasolineEuroSix-13;0.0031150547997073003
highEmissions-18;0.0035269277606501076
gasolineEuroSix-12;0.0038133413703778183
highEmissions-17;0.004225214331320626
normalVehicle-20;0.004712348725249451
normalVehicle-19;0.005199483119178275
highEmissions-16;0.005611356080121083
gasolineEuroSix-11;0.005897769689848793
normalVehicle-18;0.006384904083777618
highEmissions-15;0.006796777044720426
gasolineEuroSix-10;0.007083190654448136
normalVehicle-17;0.007570325048376961
highEmissions-14;0.007982198009319768
normalVehicle-16;0.008469332403248592
highEmissions-13;0.008881205364191399
gasolineEuroSix-9;0.00916761897391911
normalVehicle-15;0.009654753367847933
highEmissions-12;0.01006662632879074
normalVehicle-14;0.010553760722719564
gasolineEuroSix-8;0.010840174332447274
highEmissions-11;0.01125204729339008
normalVehicle-13;0.011739181687318904
normalVehicle-12;0.012226316081247728
gasolineEuroSix-7;0.012512729690975439
highEmissions-10;0.012924602651918245
normalVehicle-11;0.01341173704584707
highEmissions-9;0.013823610006789876
gasolineEuroSix-6;0.014110023616517586
normalVehicle-10;0.01459715801044641
highEmissions-8;0.015009030971389217
normalVehicle-9;0.01549616536531804
gasolineEuroSix-5;0.01578257897504575
highEmissions-7;0.01619445193598856
normalVehicle-8;0.016681586329917383
highEmissions-6;0.017093459290860192
normalVehicle-7;0.017580593684789016
gasolineEuroSix-4;0.017867007294516728
hovDieselEuroSix-20;0.019375221526913414
hovDieselEuroSix-19;0.0208834357593101
normalVehicle-6;0.021370570153238923
highEmissions-5;0.021782443114181732
hovDieselEuroSix-18;0.023290657346578418
hovDieselEuroSix-17;0.024798871578975104
hovDieselEuroSix-16;0.02630708581137179
gasolineEuroSix-3;0.026593499421099502
normalVehicle-5;0.027080633815028326
hovDieselEuroSix-15;0.028588848047425015
highEmissions-4;0.029000721008367824
dieselEuroSix-20;0.03113407649132006
hovDieselEuroSix-14;0.03264229072371675
dieselEuroSix-19;0.03477564620666899
hovDieselEuroSix-13;0.036283860439065674
dieselEuroSix-18;0.03841721592201791
normalVehicle-4;0.03890435031594674
dieselEuroSix-17;0.041037705798898975
hovDieselEuroSix-12;0.04254592003129566
dieselEuroSix-16;0.0446792755142479
hovDieselEuroSix-11;0.046187489746644585
highEmissions-3;0.04659936270758739
dieselEuroSix-15;0.04873271819053963
gasolineEuroSix-2;0.04901913180026734
hovDieselEuroSix-10;0.050527346032664025
dieselEuroSix-14;0.05266070151561626
normalVehicle-3;0.05314783590954509
dieselEuroSix-13;0.05528119139249733
hovDieselEuroSix-9;0.05678940562489401
dieselEuroSix-12;0.05892276110784625
hovDieselEuroSix-8;0.060430975340242936
dieselEuroSix-11;0.06256433082319517
highEmissions-2;0.06297620378413797
dieselEuroSix-10;0.06510955926709021
hovDieselEuroSix-7;0.0666177734994869
dieselEuroSix-9;0.06875112898243914
normalVehicle-2;0.06923826337636796
hovDieselEuroSix-6;0.07074647760876465
dieselEuroSix-8;0.07287983309171689
gasolineEuroSix-1;0.0731662467014446
hovDieselEuroSix-5;0.0746744609338413
dieselEuroSix-7;0.07680781641679353
dieselEuroSix-6;0.07894117189974577
hovDieselEuroSix-4;0.08044938613214246
highEmissions-1;0.08086125909308527
dieselEuroSix-5;0.0829946145760375
normalVehicle-1;0.08348174896996632
hovDieselEuroSix-3;0.08498996320236302
dieselEuroSix-4;0.08712331868531525
dieselEuroSix-3;0.08925667416826749
hovDieselEuroSix-2;0.09076488840066418
dieselEuroSix-2;0.09289824388361642
hovDieselEuroSix-1;0.09440645811601311
dieselEuroSix-1;0.09653981359896535
truck-20;0.1417128229190171
truck-19;0.18688583223906885
truck-18;0.2320588415591206
truck-17;0.27723185087917235
truck-16;0.3224048601992241
truck-15;0.36757786951927585
truck-14;0.4127508788393276
truck-13;0.45792388815937934
truck-12;0.5030968974794311
truck-11;0.5482699067994828
truck-10;0.5934429161195346
truck-9;0.6386159254395863
truck-8;0.6837889347596381
truck-7;0.7289619440796898
truck-6;0.7741349533997416
truck-5;0.8193079627197933
truck-4;0.8644809720398451
truck-3;0.9096539813598968
truck-2;0.9548269906799486
truck-1;1.0000000000000002
