vType;em_means
eVehicle-1;0.0
eVehicle-2;0.0
eVehicle-3;0.0
eVehicle-4;0.0
eVehicle-5;0.0
eVehicle-6;0.0
eVehicle-7;0.0
eVehicle-8;0.0
eVehicle-9;0.0
eVehicle-10;0.0
eVehicle-11;0.0
eVehicle-12;0.0
eVehicle-13;0.0
eVehicle-14;0.0
eVehicle-15;0.0
eVehicle-16;0.0
eVehicle-17;0.0
eVehicle-18;0.0
eVehicle-19;0.0
eVehicle-20;0.0
gasolineEuroSix-20;0.02482430111770648
gasolineEuroSix-19;0.05095514439950277
gasolineEuroSix-18;0.07853770119695441
gasolineEuroSix-17;0.10774276133543262
gasolineEuroSix-16;0.13877313773256572
gasolineEuroSix-15;0.1718722058895077
highEmissions-20;0.20713538606813298
gasolineEuroSix-14;0.24259867337914223
highEmissions-19;0.2797178104092741
gasolineEuroSix-13;0.31790904289805333
highEmissions-18;0.357090354207637
gasolineEuroSix-12;0.3984641894038145
highEmissions-17;0.43995028373160894
normalVehicle-20;0.4821171280334473
highEmissions-16;0.5261961032567289
normalVehicle-19;0.5705822551534009
gasolineEuroSix-11;0.6157173480946854
normalVehicle-18;0.6625693973189503
highEmissions-15;0.7095869708904506
normalVehicle-17;0.7591950230102604
gasolineEuroSix-10;0.8088436252456734
highEmissions-14;0.8592195969294238
normalVehicle-16;0.9119281523067218
highEmissions-13;0.966179198735376
gasolineEuroSix-9;1.0213443123302794
normalVehicle-15;1.0775667713993973
highEmissions-12;1.1363387383637729
normalVehicle-14;1.196577087366399
gasolineEuroSix-8;1.2586378401606653
highEmissions-11;1.3227527132127113
normalVehicle-13;1.3876247813693856
normalVehicle-12;1.4579028552057829
highEmissions-10;1.5284292155630335
gasolineEuroSix-7;1.599355790185052
normalVehicle-11;1.676022779824758
highEmissions-9;1.7543854024439254
gasolineEuroSix-6;1.8371330728362802
normalVehicle-10;1.921466761439957
highEmissions-8;2.00962471188652
normalVehicle-9;2.1033288103350496
gasolineEuroSix-5;2.2026260148058756
highEmissions-7;2.3033779581733764
normalVehicle-8;2.4087950689279722
highEmissions-6;2.5263390028567234
normalVehicle-7;2.6468157008619757
gasolineEuroSix-4;2.7709372064505082
hovDieselEuroSix-20;2.9012921956164046
hovDieselEuroSix-19;3.0385079736857694
normalVehicle-6;3.179064121358564
highEmissions-5;3.320116842073065
hovDieselEuroSix-18;3.4649557189240614
hovDieselEuroSix-17;3.6183145297074693
hovDieselEuroSix-16;3.7812582661648397
gasolineEuroSix-3;3.9467536069495495
normalVehicle-5;4.115420984156903
hovDieselEuroSix-15;4.289227636378098
highEmissions-4;4.465543537271224
dieselEuroSix-20;4.648518284773803
hovDieselEuroSix-14;4.834739697867941
dieselEuroSix-19;5.027344695239076
hovDieselEuroSix-13;5.227890832417379
dieselEuroSix-18;5.431196107420244
normalVehicle-4;5.642030328929436
dieselEuroSix-17;5.857294737755999
hovDieselEuroSix-12;6.074553053032493
dieselEuroSix-16;6.303271487410717
highEmissions-3;6.538359355268219
hovDieselEuroSix-11;6.77536842647894
dieselEuroSix-15;7.019334756482379
gasolineEuroSix-2;7.267577767659444
hovDieselEuroSix-10;7.5282877459912365
dieselEuroSix-14;7.789680242423492
normalVehicle-3;8.07079253776908
dieselEuroSix-13;8.35229214931151
hovDieselEuroSix-9;8.641969903013502
dieselEuroSix-12;8.9469278155178
hovDieselEuroSix-8;9.272815288432541
dieselEuroSix-11;9.60549664752814
highEmissions-2;9.958128449314392
dieselEuroSix-10;10.32407794431955
hovDieselEuroSix-7;10.696520770507826
dieselEuroSix-9;11.103131320513556
normalVehicle-2;11.52479976353194
hovDieselEuroSix-6;11.959316394084928
dieselEuroSix-8;12.416753262841375
gasolineEuroSix-1;12.913239285195505
hovDieselEuroSix-5;13.43465924185909
dieselEuroSix-7;13.957444234723601
dieselEuroSix-6;14.567360059732197
hovDieselEuroSix-4;15.219135005561679
highEmissions-1;15.924398609134185
dieselEuroSix-5;16.6562975991445
normalVehicle-1;17.499634485181268
hovDieselEuroSix-3;18.368667746287244
dieselEuroSix-4;19.28354148380014
dieselEuroSix-3;20.50337313381733
hovDieselEuroSix-2;21.806923025476294
dieselEuroSix-2;23.63667050050208
hovDieselEuroSix-1;26.243770283820012
dieselEuroSix-1;29.90326523387159
truck-20;33.734178525514906
truck-19;37.76671883250788
truck-18;42.02328915655601
truck-17;46.53024597025403
truck-16;51.31888758480818
truck-15;56.426771973665936
truck-14;61.89950524744211
truck-13;67.79321800381645
truck-12;74.17807348988865
truck-11;81.1433703837856
truck-10;88.80519696707223
truck-9;97.3183376151685
truck-8;106.8956208442768
truck-7;117.84108739182915
truck-6;130.61079836397354
truck-5;145.93445153054682
truck-4;165.08901798876343
truck-3;190.62843993305222
truck-2;228.9375728494854
truck-1;305.5558386823518
